,Cell,MSE,Passed,MAPE
1044,BODAR31L,16.37,0.000000,2.76
1243,BODAR32L,139.96,0.000000,7.36
2364,BODAR33L,120.09,0.000000,8.17
3530,BODAR37L,213.69,0.000000,11.07
3581,BODCA17L,306.88,0.008019,13.35
4558,BODCA27L,41.29,0.002012,4.07
2150,BODDM11L,4.75,0.000000,1.53
1039,BODDM12L,78.67,0.000997,5.96
594,BODDM13L,83.86,0.000000,6.89
2696,BODDM14L,37.25,0.003742,4.15
222,BODDM15L,32.52,0.001995,3.55
1063,BODDM17L,73.43,0.008018,6.60
399,BODDM21L,12.81,0.002015,2.19
27,BODDM22L,21.74,0.003999,3.45
1466,BODDM23L,57.64,0.000000,4.74
4037,BODDM24L,57.81,0.002043,4.82
149,BODDM25L,23.55,0.000997,3.38
562,BODDM27L,67.49,0.002046,6.31
600,BODEM11L,46.67,0.000000,4.68
427,BODEM17L,108.45,0.000000,7.57
792,BODEM21L,12.35,0.000000,2.59
3878,BODEM22L,18.88,0.002019,2.91
1506,BODEM23L,15.78,0.002012,2.63
679,BODEM24L,52.98,0.000998,5.10
2684,BODEM27L,15.34,0.002992,2.97
4324,BODEM31L,18.26,0.000000,3.07
4406,BODEM32L,47.23,0.002048,5.05
1878,BODEM33L,18.26,0.008043,2.93
2114,BODEM37L,39.75,0.000000,4.17
798,BODEN17L,111.61,0.000000,6.48
1301,BODEN27L,266.19,0.002043,13.33
333,BODEN37L,54.24,0.000992,5.83
4555,BODEN77L,312.47,0.000000,13.57
392,BODES11L,16.98,0.008047,2.88
2299,BODES12L,143.53,0.000000,8.73
26,BODES13L,114.16,0.000000,7.76
1331,BODES14L,80.28,0.000000,6.59
762,BODES27L,225.73,0.000000,10.49
1503,BODES31L,5.56,0.000000,1.60
2206,BODES32L,26.57,0.000000,3.12
900,BODES33L,27.20,0.000000,3.69
4594,BODES34L,43.50,0.000000,4.06
4653,BODES37L,30.45,0.000000,3.87
4993,BODGA17L,22.70,0.002044,3.36
3584,BODGA27L,89.18,0.000000,7.77
3448,BODGA37L,91.35,0.000000,7.19
1960,BODGA77L,342.62,0.000000,15.67
4654,BODGI11L,32.56,0.000000,4.35
2833,BODGI12L,154.35,0.002048,9.19
1205,BODGI13L,166.59,0.008038,9.35
1531,BODGI17L,97.80,0.000000,7.72
984,BODGI21L,11.44,0.002014,2.57
1111,BODGI27L,20.17,0.000000,3.23
3231,BODGI31L,127.00,0.008014,9.04
5090,BODGI32L,164.67,0.000000,9.35
3889,BODGI33L,215.39,0.000000,10.70
2534,BODGI37L,82.27,0.000000,5.79
1538,BODGU11L,22.66,0.000000,3.24
2949,BODGU21L,24.36,0.000997,3.13
3743,BODGU31L,30.64,0.002043,3.28
