,Method Name,Total MSE,Average MSE,SD MSE,Total MAPE,Average MAPE,SD MAPE,Total Time Passed,Times Model Failed
0,Linear_Regression,4235513143593081.00,815305706177.69,58763610493898.12,26711176.05,5141.71,368624.07,7.035,3.0
1,Powell_2D,657973.18,126.61,1124.95,31252.64,6.01,5.02,6.740,1.0
2,Curve_Fit_2D,658143.72,126.61,1125.58,306647.84,58.99,400.79,46.146,0.0
3,Curve_Fit_3D,48718701.82,9372.59,665523.42,39253.14,7.55,30.92,44.784,0.0
