,Cell,MSE,Passed,MAPE
3404,AEGDR12L,109.12,0.000000,7.61
1762,AEGDR17L,45.68,0.000000,5.12
1935,AEGDR77L,349.06,0.000000,15.72
2318,AKMEP12L,204.67,0.000000,9.63
1187,AKMEP13L,195.25,0.002012,8.58
1905,AKMEP17L,160.88,0.000000,9.49
4927,AKTEK11L,169.55,0.000000,9.90
4450,AKTEK12L,297.84,0.003494,13.99
953,AKTEK17L,360.00,0.000000,14.34
1789,AKTEK21L,69.13,0.002047,6.48
2980,AKTEK22L,116.15,0.000000,8.05
4550,AKTEK23L,170.80,0.002042,9.56
5123,AKTEK24L,139.53,0.000000,9.09
3222,AKTEK27L,234.18,0.000000,10.47
2120,ALABV17L,20.58,0.000000,3.30
654,ALABV27L,51.32,0.000000,4.60
3552,ALABV37L,16.33,0.008003,3.18
1051,ALABY11L,1.10,0.000000,0.73
3412,ALABY12L,7.15,0.004729,2.32
4726,ALABY13L,4.25,0.004012,1.58
5045,ALABY17L,21.75,0.000000,3.31
775,ALABY27L,20.95,0.002010,3.62
15,ALABY31L,5.81,0.008018,2.07
1072,ALABY32L,22.40,0.002015,3.70
2777,ALABY33L,14.17,0.002039,3.17
1086,ALABY37L,8.42,0.000000,2.07
2717,ALACT12L,74.34,0.000000,6.71
4544,ALACT13L,73.93,0.000000,6.23
3494,ALACT16L,56.17,0.000000,6.15
2061,ALACT17L,39.31,0.000000,3.69
2526,ALACT26L,76.06,0.000000,7.38
1771,ALACT27L,42.03,0.000000,4.67
2934,ALACT36L,38.58,0.000000,4.37
2553,ALACT37L,62.82,0.000000,5.44
3483,ALAGC17L,56.31,0.000000,5.92
2353,ALAGC22L,238.30,0.000000,11.92
2162,ALAGC23L,146.60,0.000000,9.83
4499,ALAGC27L,47.48,0.000000,4.40
3515,ALAGC32L,106.64,0.000000,8.45
153,ALAGC33L,156.43,0.000000,9.21
1074,ALAGC37L,50.46,0.000000,4.53
3725,ALAGC47L,28.59,0.000000,4.53
2615,ALAGR11L,15.41,0.000000,2.68
2610,ALAGR12L,44.17,0.002043,4.26
3957,ALAGR13L,22.80,0.002105,3.82
2498,ALAGR14L,66.65,0.008024,6.04
2083,ALAGR17L,120.51,0.000000,7.84
2572,ALAGR21L,48.39,0.000000,4.90
4375,ALAGR22L,139.22,0.000000,8.42
4409,ALAGR23L,112.01,0.000000,7.79
1169,ALAGR24L,60.48,0.000000,5.98
1727,ALAGR26L,77.82,0.008028,8.04
473,ALAGR27L,104.06,0.000000,6.94
1431,ALAGR36L,412.99,0.000000,17.53
3978,ALAGR37L,280.18,0.000000,12.65
3115,ALAKE17L,754.63,0.000000,19.37
1011,ALAKE27L,251.75,0.000000,11.98
2978,ALAKE37L,225.20,0.000000,10.76
1279,ALAOT11L,68.85,0.000000,6.47
2110,ALAOT17L,24.94,0.000000,3.72
531,ALAOT21L,35.44,0.008057,3.92
2770,ALAOT22L,70.12,0.000000,6.37
513,ALAOT23L,64.24,0.008030,6.24
4560,ALAOT27L,54.15,0.008041,4.99
583,ALAOT31L,21.16,0.000000,3.10
2504,ALAOT32L,219.73,0.008013,10.15
4497,ALAOT33L,298.82,0.000000,9.44
562,ALAOT37L,35.80,0.008018,4.25
3723,ALARI12L,331.97,0.000000,14.70
1174,ALARI13L,151.16,0.000000,8.67
4284,ALARI17L,98.44,0.000000,7.25
1452,ALARI27L,71.58,0.000000,6.27
1949,ALARI31L,35.75,0.000000,3.46
3058,ALARI32L,98.48,0.000000,7.22
2021,ALARI33L,98.72,0.002012,7.67
4683,ALARI37L,112.53,0.000000,8.25
31,ALBAH11L,3.73,0.000000,1.20
4659,ALBAH12L,18.77,0.000000,3.33
3030,ALBAH17L,25.89,0.000000,3.60
3500,ALBAH21L,5.53,0.000000,1.62
3999,ALBAH22L,22.05,0.003998,3.48
4251,ALBAH31L,8.81,0.002001,2.46
3437,ALBAH32L,54.06,0.000000,5.54
4660,ALBAH33L,6.94,0.000000,1.96
4578,ALBAH34L,50.81,0.000000,5.92
2173,ALBAH37L,38.37,0.000000,4.42
404,ALBPZ11L,21.08,0.002040,3.04
1014,ALBPZ12L,16.05,0.000000,2.99
4269,ALBPZ21L,5.70,0.008047,1.63
4984,ALBPZ22L,27.23,0.000000,3.47
4091,ALBPZ31L,20.06,0.003001,3.13
3478,ALBPZ37L,66.32,0.000000,6.14
3762,ALBTK12L,276.41,0.000000,13.47
2315,ALBTK13L,229.96,0.000000,10.06
3598,ALBTK17L,184.90,0.000000,10.22
2752,ALBTK22L,133.34,0.008013,9.21
323,ALBTK23L,103.91,0.000000,8.28
1839,ALBTK27L,227.41,0.002040,11.53
2100,ALBTK32L,183.57,0.002043,9.75
2289,ALBTK33L,148.80,0.000000,9.83
481,ALBTK37L,314.68,0.000000,13.80
2827,ALCCA11L,78.51,0.000000,6.41
2527,ALCCA12L,205.28,0.008012,11.48
2961,ALCCA13L,179.91,0.000000,7.78
986,ALCCA16L,70.48,0.000000,7.17
1826,ALCCA17L,101.89,0.000000,7.81
3783,ALCCA22L,246.19,0.000000,12.41
2268,ALCCA23L,171.30,0.008019,9.61
2708,ALCCA26L,31.81,0.000000,4.95
4759,ALCCA27L,78.98,0.000000,6.43
1842,ALCCA37L,128.41,0.000000,9.29
