,Cell,MSE,Passed,MAPE
4733,AEGDR12L,109.07,0.002353,66.73
471,AEGDR17L,45.11,0.002016,54.92
1149,AEGDR77L,349.08,0.010062,75.27
5054,AKMEP12L,204.39,0.000000,58.89
3832,AKMEP13L,195.09,0.008018,41.70
458,AKMEP17L,160.25,0.008022,68.76
1467,AKTEK11L,169.47,0.010081,53.41
479,AKTEK12L,297.82,0.050372,69.41
844,AKTEK17L,359.68,0.014314,66.13
3582,AKTEK21L,69.01,0.010103,64.04
243,AKTEK22L,115.83,0.008976,62.29
3167,AKTEK23L,170.56,0.010028,53.88
4374,AKTEK24L,138.94,0.000000,67.75
4075,AKTEK27L,232.88,0.000000,59.50
4786,ALABV17L,20.54,0.010090,52.34
2606,ALABV27L,51.38,0.040718,55.29
857,ALABV37L,16.35,0.008026,52.11
496,ALABY11L,1.10,0.008047,13.59
4098,ALABY12L,7.08,0.008031,58.86
2786,ALABY13L,4.24,0.000000,46.25
2293,ALABY17L,21.63,0.000000,52.24
2111,ALABY27L,20.91,0.008023,31.71
437,ALABY31L,5.81,0.010972,577.66
2242,ALABY32L,22.55,0.010099,53.98
3860,ALABY33L,14.05,0.000000,30.59
666,ALABY37L,8.29,0.000000,43.69
2228,ALACT12L,73.96,0.005983,54.45
1978,ALACT13L,73.89,0.002045,40.89
3858,ALACT16L,56.35,0.008017,67.30
1876,ALACT17L,39.19,0.010064,40.59
4278,ALACT26L,75.91,0.010042,154.13
600,ALACT27L,41.88,0.002039,50.27
2619,ALACT36L,38.35,0.007993,23.17
1698,ALACT37L,62.66,0.010063,46.81
2356,ALAGC17L,55.81,0.003989,60.76
1377,ALAGC22L,238.52,0.010207,63.23
187,ALAGC23L,146.74,0.004987,72.09
2888,ALAGC27L,46.78,0.010017,59.76
4398,ALAGC32L,106.82,0.012111,41.35
1742,ALAGC33L,154.54,0.010058,22.21
4224,ALAGC37L,50.03,0.008051,54.23
3094,ALAGC47L,28.35,0.000000,51.10
1772,ALAGR11L,15.38,0.010027,22.36
3264,ALAGR12L,43.98,0.010081,45.23
3035,ALAGR13L,22.77,0.004986,35.89
1485,ALAGR14L,66.05,0.010049,58.54
2890,ALAGR17L,120.43,0.009973,51.59
3273,ALAGR21L,48.27,0.008976,52.82
510,ALAGR22L,139.21,0.008020,59.10
4403,ALAGR23L,111.61,0.008010,53.43
4762,ALAGR24L,60.15,0.002016,60.22
3330,ALAGR26L,77.69,0.000000,74.55
4317,ALAGR27L,102.57,0.000000,54.32
2620,ALAGR36L,414.34,0.024000,104.10
2360,ALAGR37L,280.77,0.010024,51.55
1419,ALAKE17L,755.00,0.008022,69.68
3812,ALAKE27L,251.29,0.002012,70.29
