,Cell,MSE,Passed,MAPE
3424,AEGDR12L,101.16,0.008016,8.19
1657,AEGDR17L,127.82,0.010081,9.13
5038,AEGDR77L,350.53,0.002013,15.75
2384,AKMEP12L,338.76,0.010032,13.02
4541,AKMEP13L,221.73,0.008000,9.16
3833,AKMEP17L,379.36,0.010089,15.44
4697,AKTEK11L,174.18,0.009900,10.03
4639,AKTEK12L,367.83,0.008000,15.56
1024,AKTEK17L,414.25,0.008014,15.47
1920,AKTEK21L,77.48,0.010029,6.93
3505,AKTEK22L,152.51,0.010031,9.55
2070,AKTEK23L,196.78,0.000000,10.47
4002,AKTEK24L,312.91,0.005976,13.40
2806,AKTEK27L,286.95,0.010096,11.94
4131,ALABV17L,28.97,0.006003,4.13
585,ALABV27L,64.53,0.008017,5.90
1818,ALABV37L,27.81,0.010089,4.30
1135,ALABY11L,1.41,0.008022,0.88
3913,ALABY12L,24.37,0.007982,4.37
974,ALABY13L,5.81,0.010079,1.97
2075,ALABY17L,22.97,0.008017,4.13
1315,ALABY27L,31.94,0.010094,4.89
5053,ALABY31L,5.18,0.010078,1.83
399,ALABY32L,65.60,0.004366,7.19
1706,ALABY33L,24.02,0.010070,4.27
2764,ALABY37L,18.86,0.002013,3.61
3467,ALACT12L,114.51,0.002049,8.27
1591,ALACT13L,92.10,0.010041,7.35
4450,ALACT16L,45.73,0.002014,5.44
1133,ALACT17L,51.78,0.012145,4.92
4992,ALACT26L,77.88,0.010080,7.46
2553,ALACT27L,55.10,0.010095,4.81
4833,ALACT36L,39.16,0.028075,4.40
1891,ALACT37L,88.97,0.010040,6.45
253,ALAGC17L,118.43,0.008011,9.28
3515,ALAGC22L,251.45,0.010047,12.04
2509,ALAGC23L,134.35,0.010047,10.10
4985,ALAGC27L,140.00,0.010034,9.96
3846,ALAGC32L,129.65,0.016000,9.09
3651,ALAGC33L,156.44,0.010093,9.21
4897,ALAGC37L,98.05,0.008015,8.35
398,ALAGC47L,97.55,0.010083,7.91
4278,ALAGR11L,16.84,0.008057,3.01
1235,ALAGR12L,65.37,0.010074,5.65
3065,ALAGR13L,28.71,0.007947,4.26
2740,ALAGR14L,108.61,0.018115,7.78
3310,ALAGR17L,137.29,0.018098,8.26
2771,ALAGR21L,64.33,0.010037,5.65
3872,ALAGR22L,234.20,0.008001,11.83
1590,ALAGR23L,150.65,0.010027,9.60
796,ALAGR24L,146.90,0.010029,9.62
3971,ALAGR26L,68.80,0.007948,6.74
1230,ALAGR27L,145.90,0.010026,9.26
1684,ALAGR36L,47982430.82,0.010089,2207.25
4105,ALAGR37L,279.79,0.010005,12.63
2395,ALAKE17L,893.04,0.008017,21.64
932,ALAKE27L,272.07,0.010067,13.10
4852,ALAKE37L,300.19,0.010031,13.43
1536,ALAOT11L,69.44,0.018057,6.49
2140,ALAOT17L,37.27,0.010108,4.63
1783,ALAOT21L,47.57,0.010100,4.79
2557,ALAOT22L,175.20,0.010089,10.62
1503,ALAOT23L,76.55,0.010025,6.96
4049,ALAOT27L,98.04,0.017951,7.65
1616,ALAOT31L,25.34,0.000000,3.45
186,ALAOT32L,294.67,0.000000,11.97
2038,ALAOT33L,308.12,0.010037,9.63
2924,ALAOT37L,87.46,0.010056,7.20
5179,ALARI12L,343.73,0.008033,14.54
4353,ALARI13L,162.63,0.008000,9.01
159,ALARI17L,110.47,0.007521,7.62
4724,ALARI27L,101.42,0.008000,7.70
557,ALARI31L,41.87,0.010096,3.85
4427,ALARI32L,213.54,0.002010,11.16
155,ALARI33L,116.09,0.010098,8.24
204,ALARI37L,205.23,0.010021,11.69
1344,ALBAH11L,4.06,0.012044,1.33
4084,ALBAH12L,49.09,0.008001,5.40
738,ALBAH17L,35.95,0.010033,4.35
3745,ALBAH21L,5.82,0.010021,1.69
1752,ALBAH22L,35.11,0.002039,4.61
4881,ALBAH31L,11.75,0.005262,2.78
4989,ALBAH32L,54.06,0.007964,5.54
2065,ALBAH33L,6.54,0.012035,1.90
3917,ALBAH34L,72.42,0.010201,7.13
2446,ALBAH37L,37.25,0.010035,4.51
4981,ALBPZ11L,21.30,0.008033,3.01
4738,ALBPZ12L,31.94,0.010087,4.56
1547,ALBPZ21L,6.95,0.010063,1.84
1907,ALBPZ22L,43.51,0.010083,4.74
4412,ALBPZ31L,20.07,0.006014,3.09
4742,ALBPZ37L,79.28,0.010049,7.38
4778,ALBTK12L,296.33,0.000000,14.19
1371,ALBTK13L,232.31,0.000000,10.05
2039,ALBTK17L,198.44,0.010071,10.70
2422,ALBTK22L,141.82,0.000000,9.34
124,ALBTK23L,110.67,0.010029,8.49
2391,ALBTK27L,250.15,0.002017,12.14
2988,ALBTK32L,234.13,0.010038,11.28
5095,ALBTK33L,150.39,0.007971,9.94
3295,ALBTK37L,323.93,0.008000,13.92
2929,ALCCA11L,81.00,0.010082,6.51
360,ALCCA12L,230.33,0.010031,12.76
816,ALCCA13L,263.83,0.010049,11.65
228,ALCCA16L,71.59,0.002023,6.92
1172,ALCCA17L,136.24,0.010081,9.26
792,ALCCA22L,285.30,0.010028,13.38
4732,ALCCA23L,172.46,0.008019,9.62
2603,ALCCA26L,30.46,0.010027,4.56
3468,ALCCA27L,91.56,0.010030,7.39
334,ALCCA37L,141.24,0.010057,9.69
3653,ALCGI12L,255.09,0.000000,12.97
294,ALCGI13L,493.99,0.010054,12.32
2931,ALCGI16L,133.46,0.002014,8.87
4683,ALCGI17L,114.43,0.010067,8.73
966,ALCGI22L,365.30,0.010088,15.15
1588,ALCGI23L,325.54,0.008043,12.60
4106,ALCGI26L,187.59,0.006003,10.90
4079,ALCGI27L,278.40,0.008179,13.51
645,ALCGI32L,180.88,0.008021,10.55
3912,ALCGI33L,114.06,0.010054,8.55
2738,ALCGI36L,357.08,0.000000,16.80
4023,ALCGI37L,316.06,0.008993,13.92
1937,ALCHA11L,42.71,0.010100,4.87
2819,ALCHA12L,155.90,0.010037,9.67
2243,ALCHA13L,89.60,0.000000,7.60
3430,ALCHA17L,141.87,0.009577,9.13
3627,ALCHA22L,97.40,0.010068,7.26
1898,ALCHA23L,94.52,0.010043,7.38
5063,ALCHA27L,117.41,0.002045,8.53
3657,ALCHA31L,72.52,0.007995,6.23
1256,ALCHA32L,166.48,0.010044,10.24
4662,ALCHA33L,77.15,0.002017,6.46
1290,ALCHA34L,118.57,0.010081,7.45
670,ALCHA37L,216.43,0.000000,11.42
4396,ALCTR12L,85.76,0.010216,7.45
312,ALCTR13L,75.79,0.010085,6.83
4616,ALCTR14L,152.83,0.008001,9.61
822,ALCTR16L,62.11,0.002049,6.36
4834,ALCTR17L,56.30,0.010039,5.86
2675,ALCTR21L,53.89,0.002044,5.56
3580,ALCTR22L,113.94,0.010355,8.13
4729,ALCTR23L,96.10,0.000000,7.29
3388,ALCTR24L,112.47,0.010025,8.55
2918,ALCTR26L,82.01,0.010094,8.01
566,ALCTR27L,105.13,0.010037,7.29
2735,ALCTR31L,63.03,0.010083,6.01
2151,ALCTR32L,222.68,0.010036,10.89
4667,ALCTR33L,156.36,0.008018,8.77
1346,ALCTR36L,124.45,0.020061,10.12
1771,ALCTR37L,134.97,0.010032,9.01
4580,ALCTR41L,47.97,0.008000,4.89
347,ALCTR42L,201.73,0.008040,11.79
735,ALCTR43L,77.02,0.010083,6.63
940,ALCTR46L,147.04,0.010084,9.74
1282,ALCTR47L,139.53,0.010035,9.63
2230,ALGCY16L,197.07,0.020121,11.92
4151,ALGCY17L,118.01,0.012000,8.06
1418,ALGCY26L,332.36,0.008038,13.48
4718,ALGCY27L,154.75,0.008042,9.71
842,ALGCY32L,336.18,0.010039,15.54
4699,ALGCY33L,157.36,0.002043,9.02
1770,ALGCY36L,112.08,0.008045,8.95
3058,ALGCY37L,118.76,0.010011,8.71
3832,ALGIS12L,61.27,0.008013,6.00
3356,ALGIS13L,44.83,0.008030,5.33
2011,ALGIS14L,92.98,0.002047,8.49
4943,ALGIS17L,122.89,0.010103,8.72
4876,ALGIS21L,22.93,0.000000,3.91
1053,ALGIS22L,66.07,0.000000,5.42
225,ALGIS23L,37.13,0.010034,4.48
2582,ALGIS24L,91.86,0.008049,7.81
4250,ALGIS27L,84.94,0.012000,7.26
5098,ALGIS31L,62.90,0.008000,5.45
4269,ALGIS32L,33.90,0.008078,4.34
3787,ALGIS33L,43.61,0.008008,4.00
3482,ALGIS34L,127.15,0.002047,8.34
4543,ALGIS37L,56.27,0.003999,5.86
4432,ALISM11L,88.27,0.010078,5.81
559,ALISM12L,152.25,0.000000,9.05
4615,ALISM13L,125.54,0.008000,8.41
5137,ALISM17L,123.00,0.008072,8.27
4529,ALISM21L,15.09,0.012002,2.96
1926,ALISM22L,347.89,0.010084,13.26
504,ALISM23L,114.59,0.000000,8.60
3274,ALISM27L,170.20,0.007962,9.81
1314,ALISM31L,39.05,0.010040,4.60
876,ALISM32L,212.92,0.000000,10.84
975,ALISM33L,113.30,0.010031,8.53
4563,ALISM37L,159.09,0.010063,9.20
1858,ALKGI12L,512.88,0.002042,17.80
3593,ALKGI13L,190.66,0.008373,11.22
2408,ALKGI17L,517.04,0.010090,16.41
1472,ALKGI22L,376.87,0.010059,14.83
5054,ALKGI23L,164.09,0.008053,10.42
369,ALKGI27L,130.04,0.000000,9.09
599,ALMET11L,6.74,0.007540,1.87
1604,ALMET12L,84.24,0.010026,7.07
1658,ALMET13L,36.96,0.008022,4.52
3553,ALMET17L,85.19,0.008013,7.20
2895,ALMET21L,12.18,0.002016,2.27
495,ALMET22L,88.55,0.002018,7.90
4668,ALMET23L,45.75,0.007994,5.23
4153,ALMET27L,48.94,0.009845,5.45
3022,ALMET31L,4.45,0.010037,1.68
136,ALMET32L,79.39,0.017898,7.31
1931,ALMET33L,60.06,0.010062,5.23
1516,ALMET37L,63.19,0.010030,5.70
4388,ALOAS11L,34.77,0.003999,4.07
4063,ALOAS12L,93.42,0.005997,6.65
4342,ALOAS13L,32.01,0.004000,4.74
603,ALOAS17L,51.51,0.000000,6.19
1708,ALOAS21L,46.96,0.010082,5.39
2888,ALOAS22L,81.81,0.010089,7.66
763,ALOAS23L,56.98,0.010316,5.97
2607,ALOAS31L,24.81,0.010085,3.85
3378,ALOAS32L,69.67,0.010056,6.90
3774,ALOAS33L,51.77,0.008000,5.89
162,ALOKA16L,34.92,0.008069,4.70
1168,ALOKA17L,126.78,0.010022,8.71
4924,ALOKA36L,56.42,0.010030,6.21
1140,ALOKA37L,124.93,0.010081,8.94
4054,ALOVA11L,46.40,0.012967,5.16
4423,ALOVA16L,72.86,0.007969,7.89
224,ALOVA17L,71.02,0.002039,6.63
906,ALOVA21L,32.75,0.010070,3.27
637,ALOVA26L,64.75,0.010098,6.75
791,ALOVA27L,27.46,0.008009,3.95
1298,ALPAZ11L,77.48,0.010087,7.18
3270,ALPAZ17L,165.90,0.010076,10.22
83,ALPAZ21L,86.39,0.002021,6.28
1795,ALPAZ22L,347.55,0.010039,14.24
3338,ALPAZ23L,133.11,0.010056,8.24
4456,ALPAZ27L,220.82,0.008044,11.10
1819,ALPAZ31L,33.62,0.010022,4.09
638,ALPAZ32L,321.71,0.011955,13.27
1475,ALPAZ33L,128.26,0.020069,9.04
2299,ALPAZ37L,201.70,0.008013,10.59
2190,ALYBE11L,22.82,0.008026,3.33
2379,ALYBE17L,324.36,0.008001,15.23
507,ALYBE27L,29.70,0.010023,4.17
371,ALYBE37L,47.63,0.010034,5.55
2862,ALYNS12L,403.36,0.000000,13.58
4282,ALYNS13L,167.12,0.002015,9.34
5016,ALYNS17L,300.86,0.000000,13.41
3072,ALYNS21L,42.67,0.010084,4.58
477,ALYNS22L,163.73,0.010322,9.80
3116,ALYNS23L,178.30,0.002012,8.54
1807,ALYNS24L,210.57,0.008029,11.36
64,ALYNS26L,3305.15,0.010079,30.13
4710,ALYNS27L,216.09,0.010070,10.85
3271,ALYNS31L,24.37,0.007987,3.35
3100,ALYNS32L,399.44,0.008018,16.04
2433,ALYNS33L,277.46,0.010057,13.06
1423,ALYNS37L,309.75,0.010095,12.60
4570,ALYUN12L,112.17,0.007992,8.85
4592,ALYUN13L,69.54,0.007992,6.74
2925,ALYUN16L,48.60,0.000000,6.31
1958,ALYUN17L,179.57,0.001619,8.46
4952,ALYUN22L,350.71,0.010087,13.99
344,ALYUN26L,82.58,0.040316,8.15
2500,ALYUN27L,55.17,0.010095,5.94
3823,ALYUN36L,16.44,0.008048,3.45
930,ALYUN37L,208.88,0.010086,10.73
218,ANKOY17L,123.05,0.010279,8.99
2087,ANKOY22L,55.27,0.010016,5.47
4294,ANKOY27L,151.77,0.010027,8.88
3945,ANKOY32L,51.25,0.012000,5.79
4815,ANKOY33L,34.90,0.010044,4.29
907,ANKOY37L,58.02,0.010028,5.49
2023,APORT11L,72.49,0.010032,5.89
589,APORT12L,120.19,0.009905,8.41
2002,APORT13L,136.53,0.008016,8.71
4464,APORT17L,87.25,0.015998,7.31
1986,APORT21L,200.59,0.010040,9.96
1846,APORT22L,353.58,0.010094,14.50
3760,APORT23L,367.48,0.010071,13.24
2999,APORT24L,310.29,0.010085,13.99
1485,APORT26L,159.44,0.010077,10.88
3464,APORT27L,378.18,0.008008,15.37
4248,APORT31L,83.37,0.004029,6.28
68,APORT32L,181.63,0.010053,10.83
1205,APORT33L,124.94,0.010034,7.86
1925,APORT34L,199.33,0.010081,10.50
5032,APORT36L,25.67,0.020064,4.20
3559,APORT37L,296.66,0.008015,10.17
4258,ARMON11L,125.97,0.007994,8.31
2115,ARMON12L,220.15,0.002015,12.17
3839,ARMON13L,168.02,0.000000,9.87
27,ARMON17L,168.05,0.010077,10.17
1212,ARMON21L,51.63,0.010035,5.29
4462,ARMON22L,107.04,0.010103,7.07
2775,ARMON23L,88.53,0.008026,7.16
887,ARMON24L,91.93,0.010060,7.48
1929,ARMON27L,104.59,0.002017,7.98
1506,ARMON77L,348.32,0.002017,13.56
4821,ATCAH12L,16.85,0.002017,2.95
2857,ATCAH13L,169.90,0.008054,7.07
4453,ATCAH17L,47.18,0.010085,5.60
2123,ATCAH27L,70.18,0.010023,5.78
4467,ATCAH37L,120.66,0.010273,8.39
869,ATMAK11L,8.11,0.008020,2.25
4785,ATMAK21L,23.09,0.009541,3.32
3992,ATMAK22L,38.86,0.008996,4.86
4676,ATMAK23L,12.06,0.008034,2.89
3789,ATMAK31L,27.09,0.015994,3.78
4572,ATMAK32L,20.94,0.004000,3.69
3386,ATMAK33L,31.29,0.010089,4.50
2777,ATMAK34L,50.96,0.010035,5.56
3687,ATMAK37L,167.56,0.012761,9.87
70,AVANT17L,133.71,0.010110,8.12
2103,AVANT22L,98.17,0.010042,8.28
3794,AVANT23L,72.24,0.007988,5.07
4469,AVANT27L,92.03,0.007999,7.53
2795,AVENU11L,8.19,0.010037,2.22
1530,AVENU12L,33.77,0.002049,4.49
2774,AVENU14L,14.25,0.010026,2.98
2517,AVENU17L,37.36,0.010034,4.44
1617,AVENU27L,41.27,0.008018,5.27
4720,AYANA12L,87.74,0.010053,7.35
1038,AYANA17L,82.47,0.010053,7.26
2282,AYANA22L,148.76,0.010032,9.95
2657,AYANA27L,140.41,0.010034,9.54
5013,AYANA32L,72.27,0.010700,6.63
4781,AYANA37L,114.14,0.008021,8.16
1159,AYYOK12L,125.54,0.010062,8.52
2402,AYYOK13L,140.02,0.002051,8.92
4647,AYYOK16L,257.58,0.007993,15.04
3706,AYYOK17L,159.09,0.010088,9.77
2116,AYYOK22L,147.99,0.002015,9.35
4944,AYYOK23L,227.22,0.008046,12.13
3031,AYYOK26L,259.14,0.008041,11.46
1444,AYYOK27L,144.18,0.000000,9.37
3723,B178711L,49.49,0.010064,4.65
4304,B178712L,66.23,0.010030,6.49
4678,B178713L,84.86,0.010061,7.25
3407,B178714L,208.08,0.010062,10.85
3450,B178717L,132.34,0.010084,9.09
2337,B178721L,18.20,0.008025,3.12
909,B178722L,77.25,0.002045,6.74
282,B178723L,103.70,0.010081,7.21
4492,B178727L,127.76,0.007996,8.51
382,B178732L,62.23,0.000000,6.17
1201,B178733L,62.90,0.010037,5.32
2119,B178737L,127.40,0.008018,7.94
1675,BAG0112L,77.71,0.010041,6.10
1763,BAG0122L,74.19,0.010083,7.11
3487,BAGYL11L,52.79,0.010089,5.47
4141,BAGYL12L,225.07,0.006012,11.03
725,BAGYL13L,141.94,0.002015,9.68
9,BAGYL17L,186.03,0.008039,11.69
2009,BAGYL21L,111.79,0.000000,8.29
3703,BAGYL22L,137.51,0.020105,9.07
3920,BAGYL23L,91.32,0.007998,7.83
2961,BAGYL27L,57.39,0.000000,6.13
1828,BAHGU11L,25.98,0.002009,2.91
4966,BAHGU21L,9.26,0.010075,2.30
256,BAHGU31L,6.38,0.010377,1.89
2642,BAHGU37L,68.14,0.008018,6.60
5109,BAKAA17L,10.55,0.008000,2.53
1153,BAKAA27L,41.06,0.010086,4.16
2193,BAKAA37L,3.23,0.010081,1.21
3304,BAKTP11L,74.31,0.008047,7.38
3625,BAKTP12L,110.10,0.007998,8.01
1554,BAKTP13L,93.34,0.008054,7.34
3844,BAKTP17L,88.62,0.008014,7.62
447,BAKTP21L,50.48,0.010030,4.87
