,Cell,MSE,Passed,MAPE
4304,BOCIF37L,246.00,0.000000,9.35
5116,BOCIM17L,69.08,0.008045,6.62
4752,BOCIM21L,29.09,0.004692,4.42
4271,BOCIM27L,43.35,0.000000,4.72
3816,BOCIM31L,3.54,0.000000,1.49
4619,BOCIM37L,43.71,0.000000,5.37
198,BOCIM77L,229.91,0.000000,11.64
3537,BOCIR12L,75.58,0.000000,6.28
1746,BOCIR13L,49.39,0.000000,5.40
345,BOCIR17L,82.71,0.000000,6.48
4601,BOCRS11L,29.07,0.000000,4.23
4069,BOCRS12L,366.73,0.000000,15.23
2912,BOCRS13L,248.16,0.000000,12.31
1197,BOCRS17L,218.00,0.000000,10.39
4551,BOCRS21L,6.15,0.000000,1.87
2155,BOCRS22L,120.27,0.002049,8.19
5148,BOCRS23L,226.88,0.000000,10.85
755,BOCRS24L,140.45,0.000000,8.56
4613,BOCRS27L,241.20,0.000000,12.97
1581,BOCRS37L,194.33,0.008053,9.85
4690,BOD0112L,59.56,0.000000,5.74
3825,BOD0122L,129.72,0.000000,8.93
3335,BODAG17L,41.48,0.000000,3.94
1970,BODAG22L,14.67,0.000000,2.85
4345,BODAG23L,15.28,0.000000,2.66
2600,BODAG24L,21.42,0.000000,3.44
2189,BODAG27L,18.19,0.000000,3.71
5082,BODAG37L,17.75,0.000000,2.87
185,BODAL17L,28.89,0.000000,3.77
2684,BODAL27L,22.09,0.004000,4.06
1090,BODAR11L,20.35,0.000000,3.38
4102,BODAR12L,43.00,0.000000,5.08
235,BODAR13L,39.20,0.000000,4.75
1823,BODAR17L,36.66,0.002048,4.29
1216,BODAR21L,33.18,0.000000,3.70
2512,BODAR22L,22.52,0.000000,3.29
2071,BODAR23L,27.45,0.008017,3.42
2225,BODAR24L,18.08,0.000000,3.36
1785,BODAR27L,42.26,0.000000,5.27
3108,BODAR31L,15.38,0.000000,2.86
329,BODAR32L,138.67,0.000000,7.92
3367,BODAR33L,111.89,0.000000,8.49
4794,BODAR37L,200.75,0.000000,10.90
1273,BODCA17L,282.47,0.000000,13.26
864,BODCA27L,37.23,0.000000,3.87
4604,BODDM11L,4.46,0.000000,1.48
2154,BODDM12L,73.95,0.000000,6.05
4916,BODDM13L,78.37,0.000000,6.84
4443,BODDM14L,37.18,0.002016,4.41
3022,BODDM15L,32.31,0.000000,3.83
3631,BODDM17L,74.70,0.000000,6.89
4054,BODDM21L,12.44,0.000000,2.26
5118,BODDM22L,21.83,0.000000,3.59
3564,BODDM23L,57.04,0.008044,4.85
2433,BODDM24L,56.48,0.002016,5.12
4146,BODDM25L,26.10,0.000000,3.75
4436,BODDM27L,69.23,0.000000,6.50
5027,BODEM11L,43.09,0.000000,4.78
2745,BODEM17L,108.01,0.000000,7.87
3140,BODEM21L,12.04,0.008008,2.64
4150,BODEM22L,21.77,0.000000,3.24
4428,BODEM23L,15.83,0.000000,2.78
2123,BODEM24L,52.89,0.000000,5.26
4063,BODEM27L,14.17,0.008049,2.92
242,BODEM31L,18.86,0.008039,3.27
3373,BODEM32L,47.72,0.000000,5.21
3625,BODEM33L,17.42,0.008053,2.94
2570,BODEM37L,40.00,0.002015,4.22
3586,BODEN17L,113.14,0.002050,7.10
1229,BODEN27L,253.80,0.000000,13.28
3811,BODEN37L,55.81,0.000000,6.09
780,BODEN77L,265.55,0.008027,12.51
3561,BODES11L,16.03,0.000000,2.98
2720,BODES12L,136.87,0.000000,8.61
4895,BODES13L,103.87,0.000000,7.38
3144,BODES14L,77.10,0.000000,6.57
5072,BODES27L,192.08,0.000000,10.11
3518,BODES31L,5.34,0.000000,1.61
4471,BODES32L,26.56,0.000000,3.26
3214,BODES33L,25.20,0.000000,3.70
3935,BODES34L,43.75,0.000000,4.05
993,BODES37L,31.65,0.000000,4.13
1186,BODGA17L,24.79,0.000000,3.67
777,BODGA27L,93.35,0.000000,7.98
5020,BODGA37L,86.32,0.000000,7.11
2554,BODGA77L,317.46,0.008023,14.89
4145,BODGI11L,29.24,0.000000,4.33
4501,BODGI12L,144.57,0.000000,9.03
139,BODGI13L,161.28,0.002017,9.14
3553,BODGI17L,91.60,0.000000,7.42
1687,BODGI21L,11.53,0.000000,2.58
4405,BODGI27L,22.21,0.000000,3.59
3314,BODGI31L,135.29,0.002050,9.99
3967,BODGI32L,161.96,0.000000,9.77
1317,BODGI33L,212.84,0.000000,11.35
4600,BODGI37L,78.02,0.000000,6.22
3603,BODGU11L,21.80,0.000000,3.37
1164,BODGU21L,24.41,0.000000,3.36
2422,BODGU31L,28.95,0.000000,3.38
3429,BODGU32L,217.56,0.000000,9.71
2579,BODGU33L,84.62,0.000000,6.80
4714,BODGU37L,350.35,0.000000,10.62
3453,BODGUA2L,177.20,0.000000,9.46
776,BODGUA3L,211.94,0.000000,10.56
625,BODGUA4L,116.51,0.000000,8.03
2221,BODGUA7L,70.82,0.000000,6.30
2992,BODGUB2L,13.19,0.000000,2.58
1276,BODGUB3L,51.72,0.000000,4.90
1142,BODGUB4L,84.65,0.008017,5.52
166,BODGUB7L,19.25,0.000000,3.46
4444,BODGUC2L,30.02,0.000000,3.58
2474,BODGUC3L,18.43,0.000000,2.82
712,BODGUC4L,11.89,0.000000,2.62
2949,BODGUC5L,22.46,0.000000,3.53
4278,BODGUC7L,13.25,0.000000,2.73
4080,BODGUD2L,50.41,0.000000,5.38
2232,BODGUD3L,44.63,0.000000,5.15
710,BODGUD4L,99.04,0.002017,5.65
3472,BODGUD5L,23.16,0.000000,3.68
3036,BODGUD7L,10.69,0.000000,2.65
1846,BODIK17L,6.13,0.000000,1.91
1624,BODIK22L,47.49,0.000000,4.17
4236,BODIK23L,61.58,0.000000,4.35
3088,BODIK24L,332.17,0.000000,12.53
1165,BODIK27L,31.37,0.000000,4.02
4425,BODIK37L,239.28,0.000000,10.25
4722,BODIN11L,22.76,0.008023,3.21
3904,BODIN12L,54.70,0.000000,5.86
2084,BODIN13L,51.06,0.000000,5.75
5021,BODIN14L,80.30,0.000000,7.06
5106,BODIN17L,185.76,0.008058,11.42
3011,BODIN21L,18.12,0.008024,3.27
4447,BODIN22L,13.43,0.000000,2.77
3545,BODIN23L,24.41,0.002048,2.95
3235,BODIN24L,24.51,0.000000,2.89
3041,BODIN27L,77.51,0.002047,7.00
1469,BODIN31L,15.82,0.000000,3.03
1584,BODIN32L,92.61,0.002012,7.35
1265,BODIN33L,53.77,0.008050,5.47
2780,BODIN34L,70.86,0.000000,5.95
4853,BODIN37L,135.82,0.000000,9.21
2929,BODLE17L,17.31,0.000000,2.91
4273,BODLE27L,29.18,0.008022,4.02
1722,BODLE32L,34.54,0.000000,4.64
3690,BODLE33L,35.66,0.000000,4.59
4669,BODLE37L,38.95,0.000000,4.93
3749,BODMA11L,69.06,0.000000,6.66
4703,BODMA12L,51.19,0.000000,5.45
1945,BODMA17L,94.16,0.000000,4.55
4662,BODMA21L,16.94,0.004806,3.17
2555,BODMA22L,51.37,0.000000,4.84
2638,BODMA27L,21.42,0.000000,3.01
4862,BODMA77L,287.24,0.000000,13.49
3437,BODMR17L,52.64,0.000000,5.45
5008,BODMR27L,1131.14,0.000000,26.45
4055,BODMR37L,35.51,0.008018,4.51
4157,BODOZ17L,8.55,0.000000,2.33
2883,BODOZ27L,125.91,0.000000,7.73
4410,BODOZ37L,22.41,0.000000,3.78
4572,BODOZ77L,108.05,0.000000,8.28
4195,BODPI11L,19.48,0.000000,3.19
2859,BODPI12L,75.68,0.000000,6.78
353,BODPI13L,60.82,0.002017,6.12
3024,BODPI17L,122.76,0.000000,8.14
3218,BODPI21L,92.81,0.000000,7.67
4740,BODPI22L,168.06,0.000000,10.01
2416,BODPI23L,137.81,0.000000,8.82
4467,BODPI27L,107.28,0.000000,7.91
3995,BODPI31L,46.43,0.000000,5.13
552,BODPI32L,185.70,0.000000,9.39
3326,BODPI33L,111.54,0.002049,8.65
4036,BODPI37L,89.69,0.008050,6.25
3823,BODRA12L,375.46,0.000000,14.72
4051,BODRA13L,151.22,0.000000,9.66
4733,BODRA17L,141.00,0.008025,8.86
3772,BODRA22L,37.45,0.000000,4.49
1029,BODRA23L,25.42,0.000000,4.09
327,BODRA27L,67.57,0.000000,5.37
1872,BODRA77L,273.11,0.008049,12.55
3404,BODTG17L,60.91,0.000000,5.82
1243,BODTG27L,44.02,0.000000,3.55
1771,BODTK17L,21.23,0.000000,3.29
3787,BODTK22L,41.93,0.000000,4.53
4866,BODTK23L,25.21,0.000000,3.82
5130,BODTK27L,30.48,0.000000,4.02
1127,BODTK37L,46.78,0.000000,5.10
3930,BODTT11L,6.86,0.000000,1.92
386,BODTT12L,9.15,0.008055,2.27
4954,BODTT13L,9.91,0.008000,2.38
2184,BODTT14L,32.32,0.000000,4.54
4971,BODTT17L,9.50,0.000000,2.36
2721,BODTT21L,8.67,0.000000,2.20
1926,BODTT22L,12.11,0.002013,2.80
4500,BODTT23L,11.39,0.000000,2.38
7,BODTT24L,39.67,0.000000,4.59
3745,BODTT27L,3.67,0.002528,1.57
1670,BODTT31L,13.43,0.000000,2.42
1396,BODTT32L,140.71,0.002052,8.76
2802,BODTT33L,73.45,0.002016,6.73
2028,BODTT34L,150.51,0.000000,8.64
2849,BODTT37L,2.22,0.008014,0.95
4899,BODTV12L,31.04,0.002047,2.76
81,BODTV13L,11.75,0.000000,2.72
3715,BODTV17L,5.19,0.008023,1.71
4392,BODUN12L,36.90,0.000000,4.79
193,BODUN13L,37.98,0.000000,4.54
4313,BODUN17L,26.87,0.000000,4.00
3450,BODUN22L,43.06,0.000000,4.12
3389,BODUN27L,4.77,0.000000,1.65
5049,BODUN77L,627.14,0.002014,19.04
5053,BODYA11L,39.76,0.000000,3.45
2004,BODYA12L,40.07,0.008027,5.08
3791,BODYA13L,48.65,0.000000,5.35
4885,BODYA14L,75.11,0.002017,5.40
4751,BODYA15L,28.64,0.000000,3.45
2247,BODYA17L,45.28,0.000000,4.95
4643,BODYA21L,9.76,0.008014,1.97
689,BODYA22L,81.89,0.008024,5.99
4570,BODYA23L,44.70,0.000000,4.67
4096,BODYA24L,47.38,0.000000,5.28
2218,BODYA25L,16.99,0.008024,2.83
1845,BODYA27L,88.14,0.000000,6.12
5145,BODYA31L,13.14,0.000000,2.57
2621,BODYA32L,76.27,0.000000,6.97
3802,BODYA33L,94.14,0.000000,7.33
4497,BODYA34L,66.29,0.002018,5.22
1734,BODYA35L,24.92,0.000000,3.61
2813,BODYA37L,110.85,0.002049,7.89
175,BOGOL11L,29.20,0.002016,4.08
638,BOGOL12L,51.90,0.000000,5.42
3190,BOGOL13L,43.96,0.000000,5.18
1604,BOGOL14L,60.65,0.000000,3.91
502,BOGOL15L,33.07,0.000000,4.35
2652,BOGOL17L,71.50,0.000000,6.56
1168,BOGOL21L,17.75,0.000000,2.93
4857,BOGOL22L,33.02,0.002017,4.37
127,BOGOL23L,90.29,0.000000,6.12
3975,BOGOL24L,31.00,0.000000,2.41
28,BOGOL25L,43.17,0.000000,4.57
3706,BOGOL27L,72.59,0.000000,4.91
921,BOGOL31L,20.51,0.000000,3.49
2877,BOGOL32L,75.38,0.000000,6.22
2206,BOGOL33L,88.68,0.002047,7.55
4163,BOGOL37L,77.74,0.000000,5.81
414,BOHEK11L,15.35,0.000000,3.08
879,BOHEK12L,125.55,0.000000,6.84
4407,BOHEK13L,78.99,0.002049,7.25
2456,BOHEK14L,80.86,0.000000,6.41
1976,BOHEK17L,274.17,0.000000,11.84
4825,BOHEK22L,278.88,0.008052,13.18
4612,BOHEK23L,281.92,0.000000,13.43
1751,BOHEK27L,503.37,0.008028,17.40
4638,BOISL12L,30.45,0.002015,4.25
3332,BOISL17L,15.08,0.000000,3.03
3924,BOISL27L,24.96,0.000000,3.73
1802,BOISL32L,37.31,0.000000,2.96
247,BOISL33L,10.73,0.000000,2.40
5083,BOISL34L,25.03,0.000000,3.42
4126,BOISL35L,10.65,0.000000,2.23
250,BOISL37L,7.61,0.000000,1.66
953,BOKAC12L,14.95,0.002018,2.11
475,BOKAC13L,6.50,0.008022,1.93
666,BOKAC14L,2.62,0.002045,1.07
541,BOKAC15L,2.76,0.008016,1.38
40,BOKAC17L,7.34,0.000000,1.58
3124,BOKAC27L,14.22,0.000000,2.89
3543,BOKER17L,63.73,0.002014,6.35
4326,BOKER27L,178.99,0.000000,9.89
4657,BOKER77L,351.29,0.000000,15.67
3286,BOKOY11L,33.69,0.000000,4.14
2205,BOKOY12L,85.80,0.000000,6.66
1294,BOKOY13L,59.95,0.000000,6.19
3781,BOKOY14L,121.02,0.002015,6.54
4262,BOKOY17L,131.54,0.000000,8.30
2199,BOKOY21L,13.61,0.000000,2.55
2203,BOKOY31L,18.12,0.000000,2.92
2153,BOKOY32L,83.21,0.008024,6.33
4875,BOKOY33L,71.24,0.008014,6.64
4099,BOKOY34L,61.70,0.000000,5.81
2479,BOKOY37L,56.79,0.000000,6.10
3346,BOKOYA2L,41.20,0.008017,5.25
3484,BOKOYA3L,70.23,0.000000,5.85
3135,BOKOYA4L,46.28,0.000000,5.44
537,BOKOYA7L,29.68,0.000000,4.01
2290,BOKOYB2L,44.78,0.000000,4.26
4430,BOKOYB3L,25.01,0.008022,3.84
94,BOKOYB4L,20.10,0.000000,2.75
4464,BOKOYB7L,9.96,0.000000,2.45
110,BOMCA11L,1.47,0.002016,0.92
1930,BOMCA12L,9.26,0.000000,1.63
