,Cell,MSE,Passed,MAPE
4281,YANON22L,17.18,0.000000,1.84
3207,YANON23L,5.45,0.000000,1.60
2733,YANON27L,6.67,0.002053,1.68
2971,YANON31L,58.93,0.002019,5.05
3619,YANON37L,35.76,0.008050,4.37
1403,YAPAR11L,41.22,0.000000,4.47
1954,YAPAR12L,147.78,0.000000,8.47
73,YAPAR13L,65.24,0.008049,6.04
853,YAPAR14L,46.16,0.000000,5.30
2498,YAPAR15L,20.54,0.000000,3.03
121,YAPAR17L,300.49,0.000000,12.25
98,YAPAR21L,23.92,0.000000,3.39
2281,YAPAR22L,100.20,0.000000,7.43
3817,YAPAR23L,117.40,0.002044,7.63
1400,YAPAR24L,63.82,0.008035,6.10
3680,YAPAR25L,41.65,0.000000,4.06
4597,YAPAR27L,141.44,0.000000,9.41
3516,YASAH11L,9.08,0.000000,1.98
4568,YASAH12L,39.61,0.000000,4.56
701,YASAH13L,41.54,0.000000,4.52
5,YASAH14L,41.90,0.000000,3.36
4324,YASAH15L,18.85,0.000000,3.20
197,YASAH17L,36.02,0.000000,4.33
102,YASAH21L,9.34,0.000000,2.01
4719,YASAH22L,15.94,0.008023,2.75
3069,YASAH23L,18.31,0.000000,3.17
3854,YASAH27L,52.66,0.000000,5.16
1863,YASAH31L,21.58,0.000000,3.01
4618,YASAH32L,134.17,0.002019,9.12
4571,YASAH33L,96.75,0.000000,7.54
4888,YASAH34L,36.30,0.000000,4.65
2968,YASAH37L,102.39,0.000000,7.76
4258,YASAL12L,46.40,0.000000,4.45
2208,YASAL13L,177.56,0.002049,7.70
2952,YASAL14L,17.95,0.000000,2.97
3014,YASAL17L,43.34,0.000000,3.75
3564,YASAL22L,91.14,0.002045,6.94
1435,YASAL23L,47.75,0.000000,4.33
3244,YASAL27L,47.61,0.000000,4.96
4816,YASAN11L,6.28,0.000000,1.52
1187,YASAN12L,16.61,0.000000,2.49
3225,YASAN13L,30.87,0.002046,3.62
2084,YASAN14L,24.86,0.008027,2.68
5154,YASAN15L,21.27,0.008017,3.44
4426,YASAN17L,12.07,0.000000,2.44
4990,YASAN21L,7.00,0.000000,1.75
5038,YASAN22L,26.05,0.000000,3.49
868,YASAN23L,38.46,0.000000,4.50
731,YASAN24L,10.69,0.008025,2.06
3997,YASAN27L,29.94,0.000000,3.21
2834,YASAY12L,11.45,0.000000,2.10
1315,YASAY13L,8.75,0.000000,2.16
2573,YASAY14L,4.93,0.008014,1.77
870,YASAY17L,7.61,0.008017,1.44
4090,YASAY22L,8.41,0.000000,2.27
2387,YASAY23L,6.30,0.000000,1.95
4330,YASAY27L,14.53,0.000000,2.40
176,YASAY32L,51.60,0.002016,4.94
1710,YASAY33L,38.80,0.000000,4.68
2979,YASAY34L,32.59,0.002048,3.75
2162,YASAY37L,42.71,0.002046,4.11
3073,YASTI12L,58.21,0.008049,5.18
4534,YASTI13L,89.65,0.000000,6.41
4928,YASTI17L,138.11,0.000000,8.45
3348,YASUM11L,13.72,0.002015,2.18
4310,YASUM12L,17.93,0.002049,2.77
2890,YASUM13L,23.03,0.000000,3.81
2771,YASUM21L,10.99,0.000000,2.60
1227,YASUM22L,18.20,0.000000,3.44
4513,YASUM23L,12.75,0.000000,2.66
361,YASUM31L,2.68,0.000000,1.24
4575,YASUM32L,9.70,0.000000,2.27
886,YASUM33L,25.50,0.008703,3.90
936,YASUM41L,25.64,0.000000,3.52
3697,YASUM42L,54.86,0.008054,4.63
3430,YASUM43L,52.17,0.000000,5.06
2666,YENGP17L,4.42,0.000000,1.50
4023,YENGP27L,17.76,0.000000,2.33
5119,YENGP37L,22.23,0.002014,3.32
4830,YOMER12L,40.69,0.000000,4.34
4132,YOMER13L,97.72,0.000000,7.07
4048,YOMER14L,53.88,0.008051,6.02
2486,YOMER15L,35.83,0.000000,3.42
1726,YOMER17L,99.77,0.002046,5.57
1615,YOMER22L,14.67,0.008025,2.87
3108,YOMER23L,74.56,0.000000,5.68
3400,YOMER27L,33.36,0.008002,3.42
4039,YOMER32L,17.50,0.000000,2.89
1597,YOMER33L,18.88,0.000000,3.14
3541,YOMER37L,47.23,0.008049,4.93
100,YORGI12L,526.47,0.009029,17.85
3818,YORGI13L,392.74,0.002053,14.04
3597,YORGI14L,246.17,0.000000,12.52
4189,YORGI16L,119.48,0.000000,9.30
3954,YORGI17L,231.56,0.002046,11.50
4947,YORGI26L,8.85,0.000000,2.39
302,YORGI27L,170.26,0.000000,8.56
1957,YORGI32L,408.26,0.008017,14.77
4332,YORGI33L,296.12,0.000000,12.44
2727,YORGI34L,635.24,0.000000,16.31
790,YORGI36L,454.04,0.000000,14.77
3414,YORGI37L,185.41,0.000000,9.27
3716,YORGI46L,1059.31,0.000000,25.46
104,YUKMA17L,231.95,0.000000,11.76
2124,YUNFA11L,7.37,0.000000,2.00
1774,YUNFA12L,40.22,0.000000,3.09
2791,YUNFA13L,34.60,0.000000,4.25
1836,YUNFA17L,29.38,0.000000,3.97
3865,YUNFA21L,28.45,0.000000,3.66
1685,YUNFA22L,56.79,0.000000,5.82
3387,YUNFA23L,102.27,0.005462,7.13
1105,YUNFA31L,16.58,0.000000,2.87
2700,YUNFA32L,64.78,0.008018,6.31
