,Cell,MSE,Passed,MAPE
902,ALCHA37L,216.15,0.010040,12.65
1698,ALCTR12L,44.52,0.008021,7.91
840,ALCTR13L,50.07,0.002013,7.66
1734,ALCTR14L,29.93,0.002019,8.56
640,ALCTR16L,67.68,0.008015,9.73
509,ALCTR17L,16.95,0.010042,7.68
2776,ALCTR21L,42.50,0.010041,8.43
3956,ALCTR22L,55.17,0.002055,7.99
2917,ALCTR23L,67.44,0.000000,7.98
1739,ALCTR24L,22.70,0.012056,7.18
4605,ALCTR26L,83.45,0.002013,11.77
461,ALCTR27L,75.67,0.002048,8.56
4964,ALCTR31L,61.86,0.016001,9.75
2177,ALCTR32L,135.78,0.002014,8.80
268,ALCTR33L,116.35,0.010033,9.11
2699,ALCTR36L,145.39,0.010036,13.35
4478,ALCTR37L,97.04,0.000000,11.11
415,ALCTR41L,37.13,0.010038,7.36
3410,ALCTR42L,50.42,0.000000,9.36
4199,ALCTR43L,37.89,0.002015,8.47
2465,ALCTR46L,147.30,0.010041,12.60
5157,ALCTR47L,52.35,0.000000,7.79
4490,ALGCY16L,196.27,0.010093,16.67
3974,ALGCY17L,78.20,0.010030,10.05
1092,ALGCY26L,329.11,0.008024,25.22
2186,ALGCY27L,78.89,0.010082,9.12
5058,ALGCY32L,193.17,0.000000,11.07
1225,ALGCY33L,150.13,0.010074,10.38
1822,ALGCY36L,226.67,0.010031,102.54
3039,ALGCY37L,47.12,0.000000,7.87
2105,ALGIS12L,30.05,0.008024,6.90
2158,ALGIS13L,26.16,0.002018,6.79
2428,ALGIS14L,27.67,0.002015,7.56
4384,ALGIS17L,93.34,0.002048,9.73
720,ALGIS21L,16.48,0.010077,5.97
3021,ALGIS22L,57.55,0.007962,8.99
4,ALGIS23L,27.41,0.008045,6.47
3941,ALGIS24L,36.49,0.010033,9.29
5121,ALGIS27L,36.45,0.010123,8.29
1377,ALGIS31L,58.07,0.010053,8.40
228,ALGIS32L,23.63,0.000000,7.69
3960,ALGIS33L,39.27,0.000000,4.79
1856,ALGIS34L,30.53,0.000000,8.21
