,Cell,MSE,Passed,MAPE
3036,AEGDR12L,108.23,0.010055,7.67
0,AEGDR17L,42.47,0.000000,4.79
2877,AEGDR77L,349.26,0.000000,15.72
3975,AKMEP12L,203.97,0.010058,9.48
3777,AKMEP13L,194.51,0.010048,8.38
89,AKMEP17L,159.28,0.010034,9.41
4166,AKTEK11L,168.40,0.002020,9.85
3964,AKTEK12L,298.56,0.022064,14.03
3881,AKTEK17L,357.42,0.020183,14.16
2410,AKTEK21L,67.33,0.010036,6.37
620,AKTEK22L,113.89,0.008021,7.84
3526,AKTEK23L,168.52,0.010074,9.40
2116,AKTEK24L,139.70,0.010072,8.85
717,AKTEK27L,218.75,0.010049,9.99
4047,ALABV17L,20.34,0.012052,3.28
2572,ALABV27L,52.80,0.010083,4.67
1637,ALABV37L,16.34,0.010073,3.15
3076,ALABY11L,1.15,0.010031,0.76
3717,ALABY12L,6.94,0.010041,2.26
1025,ALABY13L,4.36,0.010047,1.61
2974,ALABY17L,21.68,0.010319,3.31
342,ALABY27L,21.09,0.010043,3.65
2551,ALABY31L,5.81,0.010037,2.07
228,ALABY32L,21.69,0.002052,3.54
2638,ALABY33L,13.59,0.010038,3.10
1181,ALABY37L,7.51,0.010041,1.98
2976,ALACT12L,71.43,0.035013,6.51
3155,ALACT13L,74.52,0.010039,6.31
2031,ALACT16L,48.80,0.010177,5.88
5069,ALACT17L,38.70,0.018164,3.56
3069,ALACT26L,76.06,0.010029,7.38
355,ALACT27L,45.20,0.010046,4.80
3892,ALACT36L,38.43,0.010100,4.38
3649,ALACT37L,62.20,0.010101,5.23
4918,ALAGC17L,52.08,0.010051,5.74
1945,ALAGC22L,244.02,0.010051,12.14
1778,ALAGC23L,143.75,0.000000,9.85
2645,ALAGC27L,44.82,0.000000,4.21
851,ALAGC32L,100.21,0.018116,8.27
547,ALAGC33L,156.44,0.000000,9.21
3871,ALAGC37L,48.07,0.002015,4.41
4750,ALAGC47L,28.37,0.010038,4.38
3318,ALAGR11L,15.11,0.038305,2.67
1625,ALAGR12L,42.76,0.010093,4.17
374,ALAGR13L,22.68,0.008022,3.81
4776,ALAGR14L,62.96,0.010071,5.76
922,ALAGR17L,120.31,0.020175,7.81
531,ALAGR21L,47.48,0.012121,4.84
529,ALAGR22L,139.23,0.035346,8.42
5192,ALAGR23L,108.66,0.010086,7.47
2362,ALAGR24L,59.04,0.010093,5.83
1540,ALAGR26L,85.18,0.038311,8.56
3756,ALAGR27L,89.86,0.010076,6.31
1355,ALAGR36L,412.99,0.010036,17.53
3957,ALAGR37L,280.18,0.010032,12.65
3095,ALAKE17L,755.97,0.002046,19.44
982,ALAKE27L,246.18,0.010095,11.81
2828,ALAKE37L,226.31,0.010036,10.82
213,ALAOT11L,68.85,0.010091,6.47
4928,ALAOT17L,25.30,0.030105,3.73
3401,ALAOT21L,34.66,0.018131,3.79
4200,ALAOT22L,71.05,0.010029,6.40
771,ALAOT23L,62.55,0.010028,6.16
3967,ALAOT27L,49.22,0.010042,4.67
3357,ALAOT31L,21.38,0.010094,3.14
4801,ALAOT32L,215.07,0.010036,10.05
4687,ALAOT33L,298.06,0.010038,9.42
1788,ALAOT37L,32.53,0.010041,3.98
67,ALARI12L,325.64,0.010044,14.48
3249,ALARI13L,150.94,0.020080,8.67
2030,ALARI17L,98.26,0.018057,7.24
4050,ALARI27L,68.97,0.010061,6.16
2721,ALARI31L,35.38,0.008025,3.45
2809,ALARI32L,96.94,0.000000,7.14
1700,ALARI33L,100.68,0.010052,7.51
575,ALARI37L,112.54,0.010034,8.25
1193,ALBAH11L,3.73,0.010081,1.19
1672,ALBAH12L,19.20,0.008020,3.37
402,ALBAH17L,25.89,0.008018,3.60
493,ALBAH21L,5.54,0.020183,1.62
3207,ALBAH22L,21.92,0.010048,3.50
2958,ALBAH31L,8.74,0.020082,2.45
4783,ALBAH32L,50.11,0.020170,4.87
2559,ALBAH33L,6.94,0.010034,1.96
898,ALBAH34L,44.61,0.010084,5.36
1634,ALBAH37L,38.37,0.002015,4.42
12,ALBPZ11L,21.08,0.028222,3.04
2709,ALBPZ12L,15.16,0.012146,2.92
642,ALBPZ21L,5.71,0.012047,1.62
688,ALBPZ22L,26.83,0.028198,3.41
1036,ALBPZ31L,19.99,0.020210,3.11
1694,ALBPZ37L,66.83,0.010056,6.14
1237,ALBTK12L,272.90,0.010033,13.35
1123,ALBTK13L,230.44,0.010038,10.07
2382,ALBTK17L,182.03,0.008024,10.06
2824,ALBTK22L,133.79,0.010063,9.22
270,ALBTK23L,104.00,0.010038,8.29
4423,ALBTK27L,227.12,0.010094,11.53
3858,ALBTK32L,184.09,0.010078,9.69
3510,ALBTK33L,147.82,0.010044,9.77
1229,ALBTK37L,312.07,0.010030,13.75
4657,ALCCA11L,80.35,0.010033,6.51
1199,ALCCA12L,203.71,0.010031,11.30
3700,ALCCA13L,180.94,0.002014,7.83
451,ALCCA16L,61.11,0.010118,6.27
2105,ALCCA17L,102.06,0.002015,7.82
2854,ALCCA22L,240.20,0.030274,12.36
5196,ALCCA23L,171.57,0.028311,9.62
4151,ALCCA26L,36.00,0.012048,5.27
2189,ALCCA27L,79.48,0.010041,6.44
2791,ALCCA37L,128.23,0.010033,9.29
780,ALCGI12L,254.44,0.000000,12.99
4261,ALCGI13L,485.41,0.022104,12.13
2641,ALCGI16L,119.88,0.002016,8.33
1437,ALCGI17L,109.94,0.018142,8.60
1950,ALCGI22L,363.13,0.018058,15.06
4996,ALCGI23L,323.05,0.012129,12.52
1073,ALCGI26L,191.94,0.010039,11.53
2307,ALCGI27L,214.09,0.010073,11.36
4324,ALCGI32L,162.25,0.018054,9.82
2540,ALCGI33L,114.26,0.010038,8.57
4176,ALCGI36L,346.01,0.008025,16.35
2499,ALCGI37L,280.26,0.022087,13.13
3506,ALCHA11L,38.64,0.010038,4.45
5164,ALCHA12L,143.07,0.010122,9.17
1624,ALCHA13L,88.13,0.010099,7.56
3656,ALCHA17L,128.24,0.020071,8.53
2080,ALCHA22L,86.86,0.010029,7.05
4607,ALCHA23L,89.56,0.020199,7.21
391,ALCHA27L,108.05,0.010088,7.99
1152,ALCHA31L,68.47,0.002014,6.09
2735,ALCHA32L,119.92,0.018131,8.53
2940,ALCHA33L,74.28,0.010087,6.30
1320,ALCHA34L,104.23,0.028176,7.27
4926,ALCHA37L,215.53,0.010032,11.41
2354,ALCTR12L,38.34,0.008024,4.69
2531,ALCTR13L,45.23,0.002015,4.79
2554,ALCTR14L,28.25,0.002049,3.34
2703,ALCTR16L,67.67,0.010037,6.69
3984,ALCTR17L,16.34,0.000000,2.66
560,ALCTR21L,39.14,0.002014,4.55
3325,ALCTR22L,51.00,0.010040,5.15
1564,ALCTR23L,57.93,0.010093,5.18
1886,ALCTR24L,21.41,0.000000,3.20
3517,ALCTR26L,83.55,0.017940,8.22
4460,ALCTR27L,73.88,0.010106,5.03
1103,ALCTR31L,60.82,0.010032,5.70
5024,ALCTR32L,126.82,0.002043,6.21
2583,ALCTR33L,113.37,0.002014,7.13
692,ALCTR36L,144.33,0.010093,10.92
1067,ALCTR37L,96.87,0.010043,7.41
235,ALCTR41L,36.06,0.012051,4.02
173,ALCTR42L,47.27,0.008031,4.77
4086,ALCTR43L,36.95,0.008025,4.50
2330,ALCTR46L,146.84,0.034547,10.26
3617,ALCTR47L,49.76,0.010095,4.99
3485,ALGCY16L,194.68,0.010037,11.92
212,ALGCY17L,78.24,0.002045,6.55
1717,ALGCY26L,328.75,0.010073,13.94
4820,ALGCY27L,78.65,0.002016,5.88
2615,ALGCY32L,178.41,0.002047,8.78
1004,ALGCY33L,147.83,0.010044,8.19
2338,ALGCY36L,169.99,0.010031,11.70
2983,ALGCY37L,46.29,0.002014,4.76
1734,ALGIS12L,29.08,0.014179,4.03
3604,ALGIS13L,24.48,0.002050,3.75
20,ALGIS14L,24.66,0.002014,3.44
2931,ALGIS17L,88.62,0.010041,6.99
1598,ALGIS21L,15.00,0.010034,3.13
3553,ALGIS22L,57.47,0.010048,5.15
989,ALGIS23L,27.03,0.008026,3.88
4429,ALGIS24L,37.08,0.018144,4.33
5185,ALGIS27L,36.40,0.000000,4.63
597,ALGIS31L,57.61,0.020172,5.13
3025,ALGIS32L,23.13,0.012082,3.18
1333,ALGIS33L,38.69,0.020114,3.54
3579,ALGIS34L,30.06,0.010101,2.92
3948,ALGIS37L,31.69,0.010094,3.76
1842,ALISM11L,82.20,0.010029,5.77
124,ALISM12L,141.32,0.008052,8.54
3813,ALISM13L,121.82,0.010066,8.24
1720,ALISM17L,100.29,0.020130,6.87
4039,ALISM21L,14.44,0.020151,2.88
4899,ALISM22L,226.07,0.000000,11.00
4888,ALISM23L,111.97,0.002049,8.38
2115,ALISM27L,88.47,0.008016,7.00
86,ALISM31L,37.33,0.010028,4.63
