,Cell,MSE,Passed,MAPE
4540,AEGDR12L,476.28,0.000000,19.83
4738,AEGDR17L,430.26,0.000000,17.62
2211,AEGDR77L,2548.43,0.008050,46.90
2751,AKMEP12L,1387.15,0.000000,32.54
2507,AKMEP13L,660.02,0.000000,21.03
4192,AKMEP17L,1854.84,0.000000,38.56
2717,AKTEK11L,605.26,0.000000,20.78
4542,AKTEK12L,2412.48,0.001995,45.29
540,AKTEK17L,2348.85,0.000000,44.04
35,AKTEK21L,333.17,0.000000,16.15
135,AKTEK22L,1086.28,0.000000,30.61
4312,AKTEK23L,746.83,0.000000,23.50
2115,AKTEK24L,1644.92,0.008027,36.62
1493,AKTEK27L,1252.60,0.000000,31.19
1454,ALABV17L,354.12,0.000000,18.07
645,ALABV27L,381.45,0.000000,17.84
2445,ALABV37L,259.71,0.000000,15.31
1362,ALABY11L,8.58,0.001962,2.70
2057,ALABY12L,109.18,0.008054,9.41
2295,ALABY13L,21.02,0.000000,3.99
1515,ALABY17L,140.28,0.000000,10.87
3428,ALABY27L,102.28,0.000000,8.48
4131,ALABY31L,26.51,0.000000,4.79
1262,ALABY32L,194.35,0.000000,11.70
328,ALABY33L,50.16,0.000000,5.43
864,ALABY37L,65.17,0.002013,7.00
4167,ALACT12L,632.07,0.001994,22.84
996,ALACT13L,268.13,0.000000,13.49
3174,ALACT16L,275.66,0.000000,15.41
1391,ALACT17L,198.06,0.000000,12.17
1573,ALACT26L,336.91,0.000000,16.22
4950,ALACT27L,208.82,0.000000,12.53
232,ALACT36L,149.44,0.000997,10.62
4156,ALACT37L,330.07,0.001995,15.63
3634,ALAGC17L,662.29,0.000000,23.46
3047,ALAGC22L,1031.82,0.000000,29.25
1715,ALAGC23L,427.30,0.002013,17.86
4485,ALAGC27L,341.74,0.000000,14.71
39,ALAGC32L,653.44,0.001995,23.21
636,ALAGC33L,609.45,0.000000,21.53
2540,ALAGC37L,229.63,0.000000,11.89
4497,ALAGC47L,236.25,0.000000,12.21
5119,ALAGR11L,70.13,0.002010,7.41
4026,ALAGR12L,313.14,0.008049,15.80
1932,ALAGR13L,168.61,0.000000,11.86
3441,ALAGR14L,617.49,0.002047,22.64
1142,ALAGR17L,653.56,0.000000,22.79
1361,ALAGR21L,181.89,0.000000,11.05
2370,ALAGR22L,811.27,0.008019,24.22
3332,ALAGR23L,590.00,0.002015,21.08
1684,ALAGR24L,812.51,0.000000,25.91
3299,ALAGR26L,614.95,0.008017,23.55
2766,ALAGR27L,536.93,0.000000,19.95
2827,ALAGR36L,840.21,0.000000,23.26
3276,ALAGR37L,1294.92,0.000000,32.08
3475,ALAKE17L,2584.39,0.000000,41.61
3357,ALAKE27L,1687.26,0.000000,37.64
3706,ALAKE37L,1720.53,0.000997,37.75
1316,ALAOT11L,188.45,0.000999,10.96
110,ALAOT17L,565.29,0.000000,23.03
3514,ALAOT21L,148.92,0.000000,10.29
3283,ALAOT22L,609.33,0.000000,21.02
1294,ALAOT23L,376.08,0.008014,17.38
2842,ALAOT27L,416.20,0.000000,17.99
4991,ALAOT31L,66.72,0.000000,6.49
3459,ALAOT32L,863.27,0.002048,23.94
922,ALAOT33L,717.93,0.000000,20.40
3741,ALAOT37L,370.70,0.000000,16.99
127,ALARI12L,1304.19,0.000000,31.05
4267,ALARI13L,473.27,0.000000,17.75
4581,ALARI17L,1157.10,0.001963,32.38
1313,ALARI27L,809.78,0.000000,26.66
403,ALARI31L,103.49,0.008015,7.93
1612,ALARI32L,595.96,0.002010,19.74
849,ALARI33L,370.45,0.000000,16.00
2637,ALARI37L,806.53,0.000000,24.68
4230,ALBAH11L,14.30,0.008021,3.22
2575,ALBAH12L,279.95,0.000000,15.31
4676,ALBAH17L,286.31,0.000000,15.87
2448,ALBAH21L,30.83,0.000000,5.01
1411,ALBAH22L,395.59,0.000000,19.03
3738,ALBAH31L,40.82,0.000000,5.51
1835,ALBAH32L,184.43,0.001960,11.53
2343,ALBAH33L,19.39,0.000000,3.65
3644,ALBAH34L,757.42,0.000000,26.20
3826,ALBAH37L,305.17,0.000000,16.40
4541,ALBPZ11L,72.76,0.000000,7.18
3408,ALBPZ12L,362.89,0.008011,18.24
931,ALBPZ21L,19.93,0.000000,3.66
2503,ALBPZ22L,406.49,0.000000,19.10
2146,ALBPZ31L,73.37,0.000000,7.32
731,ALBPZ37L,579.83,0.000000,22.57
4859,ALBTK12L,1003.23,0.000000,26.66
1986,ALBTK13L,458.12,0.009948,15.67
1097,ALBTK17L,1717.71,0.001995,39.03
3449,ALBTK22L,710.05,0.000000,23.89
2806,ALBTK23L,475.46,0.008017,19.16
1318,ALBTK27L,1303.99,0.001993,32.66
2132,ALBTK32L,987.38,0.000000,27.52
1784,ALBTK33L,407.92,0.001994,16.10
44,ALBTK37L,1328.20,0.000000,31.80
1057,ALCCA11L,205.73,0.008055,11.27
1720,ALCCA12L,1291.06,0.000000,32.64
1862,ALCCA13L,744.58,0.008045,22.39
2133,ALCCA16L,566.15,0.008024,22.36
4687,ALCCA17L,965.13,0.000998,28.84
4887,ALCCA22L,1051.99,0.002045,27.83
909,ALCCA23L,552.04,0.000000,19.49
1122,ALCCA26L,282.26,0.002046,16.02
3018,ALCCA27L,804.46,0.000000,26.72
3950,ALCCA37L,792.12,0.000998,25.60
9,ALCGI12L,1691.79,0.000000,37.92
3521,ALCGI13L,1065.22,0.000000,23.98
1105,ALCGI16L,496.23,0.002011,20.12
2469,ALCGI17L,993.23,0.000000,29.75
3296,ALCGI22L,1951.63,0.000000,39.88
3926,ALCGI23L,782.55,0.002048,21.56
3899,ALCGI26L,317.97,0.000996,11.58
963,ALCGI27L,1311.46,0.000000,32.20
1540,ALCGI32L,1000.26,0.002060,28.65
1064,ALCGI33L,412.15,0.000000,17.30
1412,ALCGI36L,905.64,0.008014,23.67
2083,ALCGI37L,1494.13,0.000000,34.36
400,ALCHA11L,150.37,0.000000,10.46
4416,ALCHA12L,715.30,0.001995,23.69
3863,ALCHA13L,375.93,0.000000,16.93
3169,ALCHA17L,916.19,0.008025,27.86
842,ALCHA22L,596.06,0.000000,22.35
2997,ALCHA23L,454.57,0.002008,19.02
1326,ALCHA27L,757.84,0.002015,25.33
2312,ALCHA31L,334.51,0.000000,16.36
3990,ALCHA32L,749.14,0.000000,24.22
503,ALCHA33L,476.48,0.000000,20.00
3655,ALCHA34L,1127.85,0.000000,31.81
4208,ALCHA37L,1076.20,0.000000,29.34
2349,ALCTR12L,245.64,0.000000,13.02
3641,ALCTR13L,253.91,0.000000,13.63
620,ALCTR14L,319.23,0.002047,13.46
360,ALCTR16L,456.25,0.000000,19.90
1189,ALCTR17L,149.37,0.000000,10.04
4063,ALCTR21L,152.79,0.008015,10.15
2643,ALCTR22L,312.53,0.000000,14.47
1338,ALCTR23L,333.95,0.002020,15.75
1805,ALCTR24L,296.45,0.008060,14.17
3462,ALCTR26L,448.02,0.000000,19.28
3819,ALCTR27L,484.10,0.000000,19.63
4774,ALCTR31L,276.00,0.008046,14.64
1705,ALCTR32L,760.58,0.000997,23.51
1893,ALCTR33L,582.82,0.000998,20.81
808,ALCTR36L,778.59,0.000000,25.23
991,ALCTR37L,696.61,0.000000,23.79
1744,ALCTR41L,105.09,0.000000,7.90
1213,ALCTR42L,488.63,0.008047,17.37
1678,ALCTR43L,357.90,0.008062,16.87
3006,ALCTR46L,851.72,0.000000,26.55
2109,ALCTR47L,486.45,0.002013,18.92
2664,ALGCY16L,480.35,0.000000,17.57
2444,ALGCY17L,540.59,0.000000,20.65
4750,ALGCY26L,902.74,0.000997,24.16
2703,ALGCY27L,517.88,0.000000,19.25
4740,ALGCY32L,910.18,0.002048,24.29
5182,ALGCY33L,321.48,0.002014,12.92
3881,ALGCY36L,369.52,0.000000,16.10
4380,ALGCY37L,412.66,0.002014,17.41
901,ALGIS12L,158.42,0.000000,10.23
3797,ALGIS13L,123.62,0.000000,9.10
2393,ALGIS14L,247.94,0.000000,12.87
643,ALGIS17L,801.87,0.008021,26.12
4071,ALGIS21L,62.31,0.000000,6.53
1291,ALGIS22L,263.67,0.002027,14.13
1810,ALGIS23L,133.80,0.000000,9.88
4742,ALGIS24L,334.25,0.000000,15.73
3645,ALGIS27L,447.26,0.000998,19.16
119,ALGIS31L,163.02,0.000000,10.13
4001,ALGIS32L,117.97,0.000000,9.29
1949,ALGIS33L,126.80,0.000000,9.23
4842,ALGIS34L,380.50,0.000000,16.31
5010,ALGIS37L,256.57,0.002012,14.31
1447,ALISM11L,195.77,0.000000,10.47
1605,ALISM12L,562.83,0.002047,20.30
1396,ALISM13L,421.92,0.000000,17.26
3735,ALISM17L,773.19,0.008017,25.52
1261,ALISM21L,55.36,0.008040,6.39
1553,ALISM22L,1027.90,0.000000,26.20
2256,ALISM23L,365.94,0.000000,15.94
227,ALISM27L,780.14,0.000997,24.81
2550,ALISM31L,107.39,0.000000,8.31
2822,ALISM32L,844.78,0.000000,25.21
2230,ALISM33L,370.91,0.000000,16.13
3340,ALISM37L,687.31,0.008023,23.19
2924,ALKGI12L,2265.95,0.000000,41.99
4633,ALKGI13L,524.91,0.000000,18.46
2663,ALKGI17L,2106.24,0.000000,40.08
3964,ALKGI22L,2082.45,0.002012,41.47
4294,ALKGI23L,562.71,0.000000,20.00
995,ALKGI27L,1416.94,0.000000,35.89
3300,ALMET11L,38.34,0.002045,5.63
1061,ALMET12L,407.17,0.000000,18.09
3758,ALMET13L,175.35,0.000000,11.83
4022,ALMET17L,790.77,0.000000,26.58
1359,ALMET21L,54.66,0.000000,6.54
4958,ALMET22L,531.58,0.000000,21.13
1824,ALMET23L,322.36,0.000000,16.66
3541,ALMET27L,571.44,0.000000,22.89
1473,ALMET31L,27.62,0.000000,4.86
1461,ALMET32L,366.97,0.000000,17.09
1559,ALMET33L,212.06,0.000000,12.36
3726,ALMET37L,655.41,0.000000,24.37
4693,ALOAS11L,66.12,0.000000,5.79
844,ALOAS12L,168.99,0.000000,9.14
4531,ALOAS13L,95.75,0.000999,8.32
1811,ALOAS17L,610.62,0.000000,23.85
1749,ALOAS21L,86.21,0.000000,6.57
52,ALOAS22L,224.10,0.000000,12.33
4047,ALOAS23L,148.60,0.000000,9.88
