,Cell,MSE,Passed,MAPE
4974,CEDAL11L,37.48,0.001997,4.63
3160,CEDAL12L,51.14,0.000998,5.91
2404,CEDAL13L,31.51,0.008037,4.21
3476,CEDAL14L,108.89,0.000997,7.52
3352,CEDAL17L,57.72,0.000512,5.86
4455,CEDAL21L,56.37,0.000997,5.81
4713,CEDAL22L,123.25,0.001994,8.29
1897,CEDAL23L,102.26,0.010021,7.53
4215,CEDAL27L,62.89,0.000000,5.58
4887,CEDAL31L,41.73,0.002013,4.90
4095,CEDAL32L,153.71,0.001992,8.58
1386,CEDAL33L,66.57,0.000996,5.23
2912,CEDAL37L,57.06,0.000998,6.03
3544,CEDVI11L,39.16,0.000997,4.83
699,CEDVI12L,46.34,0.002992,5.26
2923,CEDVI13L,114.99,0.014991,7.93
3838,CEDVI14L,231.36,0.000998,11.06
4824,CEDVI17L,217.40,0.002992,9.70
4275,CEDVI21L,26.59,0.001985,3.61
4969,CEDVI22L,205.25,0.006016,7.29
5123,CEDVI23L,133.93,0.001995,7.58
2463,CEDVI24L,126.58,0.000997,8.16
788,CEDVI27L,114.94,0.000997,8.25
4851,CEDVI31L,37.39,0.006980,4.24
23,CEDVI32L,113.91,0.000998,8.26
1254,CEDVI33L,59.70,0.019946,5.92
2748,CEDVI34L,152.47,0.000998,8.61
3767,CEDVI37L,97.99,0.003953,7.72
197,CEHAV11L,54.34,0.000000,5.65
4472,CEHAV12L,121.79,0.000996,8.61
1869,CEHAV13L,116.06,0.004986,8.28
897,CEHAV14L,403.43,0.001995,12.31
2365,CEHAV17L,149.73,0.020047,9.13
4209,CEHAV26L,218.88,0.001997,13.91
4033,CEHAV27L,285.57,0.001994,11.74
138,CEHAV31L,168.07,0.001995,8.59
702,CEHAV32L,521.53,0.000000,19.03
1132,CEKOK11L,41.76,0.000997,4.94
1768,CEKOK12L,148.39,0.000000,9.22
4342,CEKOK13L,147.88,0.008043,8.57
1783,CEKOK14L,186.29,0.008004,10.24
2356,CEKOK17L,136.46,0.000000,9.79
1320,CEKOK21L,8.73,0.000015,2.30
2066,CEKOK22L,65.56,0.000997,7.08
5076,CEKOK23L,26.45,0.000996,4.09
2361,CEKOK24L,168.56,0.001191,9.61
1446,CEKOK26L,8.44,0.000997,2.42
3191,CEKOK27L,10.56,0.000997,2.58
2509,CEKOK31L,62.34,0.000998,6.12
2340,CEKOK32L,549.64,0.000000,20.35
68,CEKOK33L,64.04,0.002990,5.93
277,CEKOK34L,106.56,0.000994,8.54
2428,CEKOK37L,71.90,0.026926,5.97
2770,CENNE11L,183.35,0.000997,8.13
1240,CENNE17L,1946.31,0.001995,35.84
2927,CENNE21L,47.76,0.004985,4.86
2593,CENNE27L,247.21,0.001206,12.25
1749,CENOW12L,248.90,0.000000,12.26
4738,CENOW13L,140.12,0.001992,9.20
2339,CENOW17L,344.18,0.009974,13.69
1997,CENOW21L,19.80,0.001000,3.40
2149,CENOW27L,221.72,0.000996,11.36
1349,CENOW31L,58.62,0.001028,6.18
1751,CENOW32L,111.09,0.001000,8.15
2240,CENOW33L,87.62,0.000000,7.26
4262,CENOW37L,207.82,0.012039,11.14
2618,CENOW77L,433.33,0.002008,14.45
1759,CEPAS16L,46.94,0.002993,5.06
5056,CEPAS17L,47.59,0.000000,5.38
4130,CEPAS26L,93.43,0.008010,7.68
4230,CEPAS27L,173.41,0.000000,8.56
4639,CEPAS36L,193.92,0.001995,11.07
4084,CEPAS37L,45.26,0.038132,5.12
1798,CERID12L,250.57,0.001995,12.60
1467,CERID13L,296.23,0.023141,10.62
2532,CERID17L,126.60,0.002996,8.52
2913,CERID27L,163.38,0.008022,9.82
1357,CERID31L,57.24,0.001994,6.06
971,CERID32L,297.85,0.000000,11.01
3601,CERID33L,88.25,0.004988,6.86
1797,CERID34L,140.14,0.000000,8.52
4989,CERID36L,215.64,0.000998,12.13
2162,CERID37L,127.85,0.001995,8.92
4875,CESAD11L,36.30,0.000998,4.46
3731,CESAD12L,71.98,0.002995,6.15
2125,CESAD13L,346.06,0.000998,16.07
2915,CESAD17L,18.29,0.000997,3.32
5196,CESAD21L,75.95,0.000991,6.17
