,Method Name,Total MSE,Average MSE,SD MSE,Total MAPE,Average MAPE,SD MAPE,Total Time Passed,Times Model Failed
0,Linear_Regression,2897467.66,557.74,2235.67,90171.38,17.36,10.69,7.495,3.0
1,Curve_Fit_3D,2568011290064314660279425812340776392753483973760090214760448.00,495372548237714999985739278347409771574604889437203595264.00,5601193111942596945981977378799226458436409728927426150400.00,6055515917953535089227203608576.00,1168116496518814681545048064.00,7606926591497280899149463552.00,9.014,14.0
2,Powell_2D,809113.67,155.69,1070.64,38894.57,7.48,5.55,9.353,1.0
3,Curve_Fit_2D,732612.35,140.97,1060.47,36792.25,7.08,5.01,25.958,1.0
