,Cell,MSE,Passed,MAPE
2644,BIATA27L,121.41,0.000000,6.99
4790,BIBER17L,325.37,0.002046,15.13
1431,BIBER21L,65.17,0.009364,5.86
3662,BIBER22L,275.07,0.006069,13.60
25,BIBER23L,271.66,0.008020,13.02
2178,BIBER27L,332.68,0.000000,13.83
305,BIGIR11L,13.03,0.000000,2.08
2276,BIGIR12L,76.79,0.000000,7.43
3886,BIGIR13L,41.27,0.000000,4.31
4049,BIGIR17L,47.57,0.000000,5.73
3270,BIGIR21L,4.38,0.008056,1.64
2209,BIGIR22L,345.39,0.000000,15.55
3945,BIGIR23L,123.15,0.000000,6.74
832,BIGIR27L,31.83,0.000000,4.17
3383,BIGIR31L,5.19,0.000000,1.63
5184,BIGIR32L,78.32,0.000000,6.78
1943,BIGIR33L,54.36,0.000997,5.59
4957,BIGIR34L,246.81,0.000000,12.70
3706,BIGIR37L,39.89,0.000000,5.13
3889,BIHAL11L,13.24,0.000000,2.68
1939,BIHAL12L,104.75,0.008013,6.99
98,BIHAL13L,101.12,0.000000,7.77
1977,BIHAL14L,107.41,0.001995,7.26
2230,BIHAL17L,183.81,0.002013,8.17
1752,BIHAL21L,11.61,0.003989,2.53
4450,BIHAL22L,158.58,0.008025,9.70
765,BIHAL23L,103.61,0.008051,7.73
283,BIHAL24L,74.07,0.000000,6.47
827,BIHAL27L,135.94,0.000000,8.26
4085,BIPOL17L,120.87,0.000000,8.00
4434,BIPOL27L,74.21,0.002045,6.02
416,BIPOL37L,65.19,0.000000,6.21
5054,BISER12L,38.81,0.008019,4.96
4149,BISER17L,46.65,0.002014,5.58
833,BISER27L,40.30,0.000000,3.89
1895,BIT0112L,34.74,0.000000,4.70
2746,BIT0113L,26.66,0.000000,3.77
1273,BIT0117L,28.60,0.002012,4.49
2946,BIT0122L,10.39,0.008032,2.46
5154,BIT0123L,24.77,0.000000,3.62
762,BIT0127L,22.42,0.000000,3.56
865,BITEZ11L,30.40,0.008022,3.81
4058,BITEZ12L,122.51,0.000000,8.83
4373,BITEZ17L,81.68,0.002087,7.00
2519,BITEZ21L,36.12,0.008017,5.10
4014,BITEZ22L,94.40,0.010065,7.60
394,BITEZ23L,54.20,0.000000,5.80
4068,BITEZ24L,127.76,0.000997,7.69
2874,BITEZ27L,65.79,0.000000,6.41
2684,BITEZ31L,11.03,0.000000,2.19
2139,BITEZ32L,579.67,0.000000,22.14
2604,BITEZ37L,116.29,0.000000,8.38
3434,BITIS11L,10.36,0.000033,2.53
4581,BITIS12L,46.92,0.000000,5.19
3767,BITIS13L,36.02,0.002045,4.51
5,BITIS17L,44.22,0.000000,5.06
1657,BITIS21L,16.12,0.000000,2.91
2404,BITIS22L,86.22,0.000000,5.95
2676,BITIS23L,71.09,0.000000,5.71
3510,BITIS24L,276.50,0.008051,9.04
1608,BITIS27L,142.93,0.000997,8.90
2623,BITTV11L,11.15,0.000000,2.54
4235,BITTV12L,210.66,0.000000,11.39
4061,BITTV13L,40.42,0.000997,4.76
5031,BITTV14L,52.08,0.000000,5.41
