,Cell,MSE,Passed,MAPE
4104,AEGDR12L,100.36,0.002046,8.13
4754,AEGDR17L,123.32,0.008033,8.96
171,AEGDR77L,349.85,0.010023,15.74
3717,AKMEP12L,332.62,0.003988,12.89
4287,AKMEP13L,218.71,0.008058,9.08
5039,AKMEP17L,371.50,0.000000,15.25
3569,AKTEK11L,173.38,0.000000,10.01
3326,AKTEK12L,367.83,0.002046,15.56
11,AKTEK17L,411.40,0.006752,15.41
2663,AKTEK21L,77.48,0.010173,6.93
1319,AKTEK22L,150.33,0.006981,9.46
1371,AKTEK23L,194.37,0.004987,10.41
5057,AKTEK24L,308.07,0.002043,13.31
3168,AKTEK27L,283.57,0.010037,11.86
5023,ALABV17L,28.39,0.000000,4.07
4213,ALABV27L,63.94,0.010093,5.86
312,ALABV37L,26.97,0.000000,4.23
1296,ALABY11L,1.41,0.000000,0.88
1712,ALABY12L,24.37,0.000000,4.37
520,ALABY13L,5.81,0.002042,1.97
3699,ALABY17L,22.97,0.000000,4.13
435,ALABY27L,30.99,0.002018,4.81
4520,ALABY31L,5.81,0.000000,2.07
3601,ALABY32L,64.04,0.000000,7.11
55,ALABY33L,23.06,0.010051,4.19
100,ALABY37L,18.86,0.000000,3.61
3753,ALACT12L,112.75,0.006017,8.20
4983,ALACT13L,90.61,0.010033,7.26
1149,ALACT16L,44.76,0.002042,5.38
1163,ALACT17L,50.97,0.002013,4.85
3082,ALACT26L,76.06,0.002009,7.38
4220,ALACT27L,53.91,0.000000,4.75
2265,ALACT36L,39.03,0.000000,4.40
4443,ALACT37L,87.35,0.004987,6.37
1239,ALAGC17L,115.56,0.000000,9.16
1447,ALAGC22L,250.59,0.003988,12.03
513,ALAGC23L,134.00,0.002014,10.08
2526,ALAGC27L,137.54,0.010093,9.86
1525,ALAGC32L,128.22,0.000000,9.06
3247,ALAGC33L,156.44,0.002014,9.21
4730,ALAGC37L,96.34,0.008019,8.26
3237,ALAGC47L,94.85,0.008045,7.80
1218,ALAGR11L,16.84,0.000000,3.01
3883,ALAGR12L,64.07,0.002020,5.58
292,ALAGR13L,28.04,0.000000,4.21
394,ALAGR14L,106.38,0.008020,7.69
1419,ALAGR17L,137.29,0.010030,8.26
1386,ALAGR21L,62.82,0.008032,5.57
4009,ALAGR22L,229.91,0.008025,11.69
