,Cell,MSE,Passed,MAPE
4918,KRKOS17L,122.05,0.001965,7.98
4919,BOMEY32L,65.52,0.000998,6.50
4920,CEALA16L,80.73,0.001995,7.66
4921,TRMEZ33L,35.92,0.000000,4.77
4922,KAROT17L,44.80,0.000997,5.11
4923,NERGC47L,5.75,0.000997,1.87
4924,CESIS16L,92.72,0.000997,7.03
4925,KRYAN31L,29.45,0.000998,3.88
4926,ALCGI36L,357.08,0.000996,16.80
4927,KRTZE13L,94.93,0.000000,6.59
4928,KRTEY32L,690.47,0.000997,22.72
4929,BODIN14L,104.86,0.000000,8.17
4930,MLTOF12L,53.67,0.000998,5.74
4931,ALAOT37L,87.46,0.000997,7.20
4932,KABIL13L,14.16,0.000000,2.99
4933,ALARI13L,150.46,0.016953,8.66
4934,YAGOK33L,99.34,0.000998,7.78
4935,CIFSU27L,177.10,0.003990,6.65
4936,BOKOYB4L,38.66,0.000000,5.06
4937,ALYNS12L,298.58,0.000000,11.22
4938,BODUN27L,8.72,0.000000,2.37
4939,YAKCU33L,97.55,0.000000,8.10
4940,YAKMR32L,35.82,0.003994,4.52
4941,ATMAK31L,25.27,0.000000,3.53
4942,AVANT22L,230.93,0.000000,11.60
4943,OASIS22L,97.12,0.000000,7.41
4944,CESDE32L,28.27,0.023976,3.58
4945,CREIS32L,94.91,0.000000,6.83
4946,TURVC25L,15.39,0.000000,2.15
4947,ILIMA17L,80.13,0.003995,6.59
4948,ALBTK13L,230.97,0.003995,10.00
4949,KRTSA21L,32.77,0.000000,3.94
4950,BOSYU37L,343.65,0.003995,15.29
4951,ANKOY37L,58.02,0.000000,5.49
4952,CEHAV31L,168.07,0.000000,8.59
4953,BODTV12L,37.02,0.003993,3.65
4954,BODTK17L,40.06,0.000000,4.64
4955,KRIBB42L,20.37,0.000000,3.40
4956,APORT34L,199.33,0.000000,10.50
4957,BIGIR12L,76.79,0.000000,7.43
4958,ILSAH12L,208.87,0.000000,10.57
4959,KRKYA31L,9.54,0.000000,2.36
4960,KRKYH21L,12.84,0.003995,2.95
4961,MITOW12L,35.18,0.000000,4.76
4962,SOYAC11L,2.64,0.000000,1.32
4963,KSKSA12L,39.80,0.002211,5.28
4964,KRTGE23L,889019926698.28,0.007990,74368.58
4965,KRTSA23L,59.06,0.000000,5.98
4966,BOCAP17L,68.77,0.023967,6.50
4967,KRBRS21L,40.29,0.003980,3.95
4968,TULIM13L,57.41,0.000000,5.85
4969,BIBER23L,271.66,0.000000,13.02
4970,CESYS12L,143.26,0.000000,7.25
4971,ALBTK12L,272.53,0.000000,13.33
4972,GUAYE32L,102.79,0.003995,6.51
4973,KRTFK32L,25.60,0.003954,4.12
4974,KSMED12L,25.88,0.000000,4.29
4975,ZAKUM37L,17.15,0.000000,3.28
4976,GUNDGF4L,38.58,0.000000,4.60
4977,ALAGC27L,140.00,0.000000,9.96
4978,GUNDGA7L,73.08,0.000000,6.98
4979,CIKOY23L,139.50,0.000000,9.09
4980,KRYSA11L,11.16,0.000000,2.50
4981,ALARI31L,35.38,0.006075,3.45
4982,KSSEL42L,21.43,0.000000,3.58
4983,KRHAS73L,140.43,0.000000,9.09
4984,KATYA32L,45.02,0.015978,4.97
4985,SENSI27L,86.00,0.015979,7.18
4986,YAHOT23L,72.56,0.000000,6.75
4987,BOYAL17L,30.80,0.000000,4.27
4988,BATIR13L,233.89,0.000000,9.13
4989,YORGI33L,288.15,0.000000,13.08
4990,MLTOF24L,55.84,0.000000,6.08
4991,KRTSU83L,51.65,0.000000,5.45
4992,ALKGI13L,182.85,0.015979,10.61
4993,CIKOY17L,98.33,0.000000,7.68
4994,KRCBG23L,30.21,0.000000,4.70
4995,SWCFH12L,788.71,0.007955,22.34
4996,VENUS32L,195.77,0.003997,9.73
4997,KRBRS12L,156.25,0.000000,10.68
4998,SERHO14L,71.98,0.000000,6.83
4999,KRTMI34L,3181.82,0.000000,36.59
5000,KRPSB12L,36.95,0.000000,4.66
5001,GMSLK31L,11.66,0.000000,2.61
5002,ALAOT32L,215.07,0.003997,10.05
5003,ALYUN36L,16.44,0.004081,3.45
5004,KOATA13L,11.19,0.000000,2.75
5005,BIATA12L,461.11,0.000000,17.20
5006,MAMUB32L,57.98,0.004010,5.57
5007,CEVKY12L,32.81,0.000000,4.41
5008,CEDVI24L,126.58,0.000000,8.16
5009,BODYA25L,30.74,0.000000,4.20
5010,SENSI12L,79.49,0.004375,7.16
5011,GAZBO23L,158.20,0.000000,10.22
5012,CENOW77L,433.33,0.000000,14.45
5013,ILDBA23L,158.73,0.000000,9.12
5014,CESYS31L,92.92,0.000000,7.15
5015,KRKBR22L,273.87,0.000000,13.19
5016,KRTOF74L,552.63,0.010338,17.67
5017,CEVGR11L,16.23,0.003995,2.35
5018,ORKEN12L,204.92,0.000000,11.32
5019,KRUMC13L,133.94,0.000000,8.54
5020,KRCKC32L,94.97,0.000000,6.93
5021,CEVSL33L,44.51,0.000000,4.52
5022,TOROR22L,130.71,0.000000,7.21
5023,CECIF27L,191.38,0.000000,9.64
5024,KRTCI27L,34.84,0.000000,4.34
5025,MAVMUY7L,129.75,0.012020,8.73
5026,SWXBE12L,107.16,0.000000,8.18
5027,TUKRB13L,140.97,0.000000,8.65
5028,SOGMI23L,137.41,0.000000,8.85
5029,CESOV27L,55.12,0.000000,5.49
5030,DRTEK12L,107.31,0.003995,8.25
5031,YAKYU47L,46.76,0.003996,5.54
5032,ALBAH22L,35.11,0.000000,4.61
5033,GMSLK22L,169.73,0.000000,9.10
5034,SWAZA12L,91.28,0.003996,6.99
