,Cell,MSE,Passed,MAPE
1589,ILDEL24L,133.91,0.000000,9.09
1590,KUDUR17L,151.97,0.002016,9.54
1591,ALAKE27L,269.99,0.000000,13.04
1592,KARYS33L,75.91,0.000000,5.92
1593,DHOTE77L,392.99,0.008022,13.07
1594,C500337L,191.70,0.000000,10.13
1595,BODEM37L,38.76,0.010050,4.14
1596,CEDVI23L,132.46,0.000000,7.50
1597,TOROR13L,162.40,0.000000,10.02
1598,CWCPO17L,131.41,0.008058,9.10
1599,ILIVS33L,271.95,0.010040,12.62
1600,BOSIV17L,102.25,0.000000,7.56
1601,GUBAIA7L,147.91,0.010041,9.64
1602,BOMLA27L,10.67,0.008046,2.40
1603,ILSAH33L,111.36,0.000000,7.44
1604,KOATA17L,3.71,0.008025,1.40
1605,TULIM14L,73.36,0.008016,6.36
1606,KAISK27L,52.20,0.010118,4.09
1607,BODES13L,104.87,0.008021,7.46
1608,HARES17L,241.36,0.010050,11.34
1609,KRYNP23L,69.53,0.001105,5.12
1610,KRANA23L,37.86,0.002019,4.51
1611,KUBUKD7L,193.28,0.000000,10.22
1612,KRTZE11L,3.75,0.000000,1.54
1613,SWMAH13L,57.41,0.010241,5.55
1614,KRTSA37L,34.77,0.000000,3.68
1615,BBABY17L,123.33,0.008025,8.18
1616,VERAT27L,59.74,0.002021,5.84
1617,GUNYO27L,39.11,0.002051,5.25
1618,CWFUN31L,215.20,0.010041,12.37
1619,PAYAL52L,202.21,0.010081,10.53
1620,KATYA32L,54.48,0.002021,5.64
1621,KRCUM21L,1.49,0.000000,0.96
1622,KUMBO17L,39.94,0.008047,4.84
1623,LIMNI17L,273.60,0.000000,10.40
1624,BAGYL21L,111.79,0.002070,8.29
1625,CEDVI13L,141.47,0.000000,9.45
1626,KREVA22L,81.44,0.002046,6.74
1627,KRTCH34L,125.27,0.000000,8.71
1628,CEKOK13L,147.94,0.000000,8.56
1629,CEVGR22L,34.33,0.005428,4.65
1630,RUSTU12L,57.63,0.010034,5.96
1631,BODAG27L,19.35,0.007010,3.65
1632,ALYNS32L,399.42,0.010049,16.04
1633,YAKGU33L,24.73,0.000000,3.97
1634,BODOZ77L,106.81,0.008049,8.25
1635,KRUMC32L,25.96,0.000000,3.94
1636,KRDOD11L,3.11,0.000000,1.37
1637,BAYGI11L,3.85,0.002047,1.53
1638,MUCAM17L,92.29,0.002015,7.90
1639,ALOAS23L,56.98,0.002019,5.97
1640,CPMIG13L,280.34,0.008017,11.62
1641,BATIR37L,136.92,0.000000,8.32
1642,KRDRU17L,96.25,0.000000,7.72
1643,BOMOV37L,11.17,0.008027,2.36
1644,YASAH34L,66.92,0.000000,6.43
1645,KSBAH12L,59.59,0.008016,6.57
1646,CESIV16L,478.25,0.000000,19.20
1647,BODYA11L,42.89,0.000000,3.71
1648,CESPF37L,44.58,0.000000,5.45
1649,BITEZ21L,10.16,0.000000,2.54
1650,SWCV513L,59.39,0.000000,6.12
1651,BODYA34L,89.08,0.002019,6.95
1652,YAHSU37L,84.01,0.000000,5.83
1653,BITIS17L,44.22,0.000000,5.06
1654,MOBZ032L,25.19,0.000000,4.04
1655,BIATA23L,51.10,0.000000,5.12
1656,BAKTP31L,45.70,0.000151,5.24
1657,MYNDS23L,211.94,0.000000,10.63
1658,KRMGA43L,39.57,0.000000,5.15
