,Cell,MSE,Passed,MAPE
1807,BOMCA13L,3.81,0.000045,1.55
1808,BOSEV37L,122.17,0.001150,8.62
1809,BOMOV17L,16.49,0.000998,2.99
1810,KRYNP11L,4.74,0.000998,1.73
1811,KRCKC23L,104.01,0.000997,8.02
1812,GUCAC23L,214.74,0.000995,5.20
1813,CESDK22L,92.07,0.000994,7.89
1814,ALCTR13L,75.79,0.000808,6.83
1815,KRTCK21L,12.92,0.000998,2.53
1816,KAHAM21L,4.49,0.000997,1.60
1817,BODAR13L,41.97,0.001030,4.90
1818,KRTGE34L,40.08,0.000000,5.19
1819,YANON12L,215.50,0.000999,9.59
1820,GUBOD14L,57.40,0.000997,6.07
1821,KUBUKD2L,140.84,0.000999,9.21
1822,ALGIS34L,127.15,0.000998,8.34
1823,KARSM31L,13.74,0.000998,2.48
1824,TURAK23L,125.26,0.000997,8.16
1825,KRMGA33L,67.84,0.001041,6.55
1826,BOBAR27L,184.90,0.001011,9.49
1827,KARTO47L,66.97,0.000000,6.19
1828,TUGUR21L,9.73,0.000000,2.28
1829,CWFUR17L,475.38,0.000000,17.70
1830,KRTSUH2L,92.83,0.000000,8.14
1831,KRKBH13L,134.90,0.000998,8.70
1832,KRHAS72L,121.20,0.000000,8.25
1833,REGES77L,450.21,0.000997,16.30
1834,KRCVB27L,52.99,0.000926,5.81
1835,KARSM32L,25.28,0.001003,3.80
1836,UGSER13L,83.17,0.000000,7.14
1837,KRTBC24L,109.65,0.003162,8.14
1838,BOYAH12L,74.96,0.000000,6.74
1839,ILHOT24L,112.03,0.000000,8.70
1840,KATAD11L,15.19,0.001031,3.17
1841,BOCIF23L,34.69,0.003995,4.67
1842,ALYNS26L,287.73,0.002366,15.27
1843,NERGC27L,25.65,0.000000,4.10
1844,KRTEY32L,196.34,0.000000,10.53
1845,BIBER23L,271.66,0.000000,13.02
1846,KRTSUJ3L,64.94,0.000000,6.89
1847,MVTRA23L,48.37,0.000998,5.05
1848,FENBU27L,148.21,0.000000,9.07
1849,YAHAK13L,355.81,0.000999,13.33
1850,BOTAN13L,84.47,0.000000,5.83
1851,CEVMR31L,4.50,0.000000,1.56
1852,KRKBR13L,93.96,0.000000,6.98
1853,KRTEY12L,61.40,0.000000,5.79
1854,PAYAL63L,81.52,0.000000,6.77
1855,CECIF33L,52.93,0.001000,4.90
1856,REGES36L,114.83,0.000000,8.03
1857,KORYB22L,90.23,0.001027,7.81
1858,BODAR31L,16.36,0.000000,2.95
1859,KARDI13L,39.49,0.000000,5.06
1860,BODYA12L,49.62,0.003988,5.67
1861,PALIF17L,233.36,0.000000,12.86
1862,TORGI23L,45.79,0.004051,5.49
1863,BOMUM14L,41.13,0.004084,4.96
1864,CESAZ37L,114.02,0.004228,8.90
1865,KANER23L,99.00,0.000000,6.65
1866,TUHEK13L,189.66,0.000000,8.86
1867,CECAR41L,68.32,0.000000,6.51
1868,KRKBH33L,21.39,0.000000,3.63
1869,ALGIS13L,44.83,0.000000,5.33
1870,KARNE37L,109.39,0.000000,8.72
1871,KRHAS41L,9.14,0.000000,2.39
1872,ALBAH22L,35.11,0.000000,4.61
1873,YAKPO11L,34.33,0.003989,4.29
1874,SERHO33L,76.95,0.000000,6.47
1875,KRIBB21L,5.87,0.004036,1.88
1876,KRTKF32L,16.78,0.000000,3.03
1877,TURAK24L,113.12,0.000000,8.50
1878,FLIPE11L,29.67,0.000000,4.26
1879,KRCBG23L,30.21,0.000997,4.70
1880,GUMBT21L,25.30,0.000000,3.57
1881,CWPRD27L,388.11,0.000000,12.75
1882,KEFAL23L,187.76,0.000000,11.07
1883,KONCK21L,5.73,0.000000,1.59
1884,CESUA14L,733.65,0.000000,19.49
1885,ARMON11L,124.46,0.000990,8.25
1886,KRTHZ33L,59.45,0.000000,6.29
1887,KRTHZ12L,112.49,0.001026,8.42
1888,BODDM15L,44.77,0.001005,4.79
1889,CWMSM17L,10.21,0.000998,2.69
1890,KRTGE23L,26.17,0.000000,3.71
1891,ILSAH37L,179.86,0.004049,10.40
1892,MUCAM17L,92.29,0.002333,7.90
1893,NENEJ27L,23.93,0.001042,4.04
1894,CESPF22L,21.58,0.000000,3.76
1895,MAVMU11L,4.61,0.000000,1.73
1896,ALBAH37L,38.37,0.001209,4.42
1897,RAHBA23L,64.82,0.000000,6.16
1898,BOKOY17L,157.08,0.000000,9.77
1899,BBABY13L,102.81,0.000000,6.68
1900,CPMIG21L,148.86,0.002006,7.22
1901,KEFAL25L,101.43,0.000000,7.30
1902,KRTNE12L,80.79,0.000000,6.46
1903,CESDK32L,180.54,0.000000,9.67
1904,KRCVB13L,65.60,0.000997,5.61
1905,YAHSU31L,36.70,0.000000,4.24
1906,KRBUS22L,31.18,0.001040,4.45
1907,GOLIV12L,239.23,0.004053,13.31
1908,KRSGK31L,2.62,0.000000,1.03
1909,SWBLE12L,270.62,0.001997,12.86
1910,NIKKI17L,122.44,0.000996,8.50
1911,ALCGI23L,325.25,0.002120,12.59
1912,CECIF13L,174.52,0.000000,9.81
1913,CESIS17L,152.64,0.001521,9.66
1914,KEMYA22L,503.71,0.000999,16.92
